Phase,Conditions,Growth Time,R2s,Rs,Type,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch,Mg Type,Na Type,Correlation to glucose_4,Similarity to glucose_336.2,Correlation to glucose_336.2,Correlation to glucose_24.1
exponential,glucose_3,3,0.23040081,-0.480000844,glucose,21628.94163,#N/A,13632.73298,8,baseMg,baseNa,0.959127054,33370.2961,0.755145379,0.631896385
exponential,glucose_4,4,0.236217604,-0.486022226,glucose,17812.09679,#N/A,0,8,baseMg,baseNa,1,34032.02183,0.745367127,0.584435486
exponential,glucose_5,5,0.214117192,-0.462727989,glucose,25316.19907,#N/A,20330.06015,8,baseMg,baseNa,0.908942408,38363.24338,0.675814724,0.526263829
exponential,glucose_6,6,0.223653683,-0.472920377,glucose,19669.1822,#N/A,12112.42449,8,baseMg,baseNa,0.967734325,35759.96326,0.718815831,0.566955084
exponential,glucose_8,8,0.115620524,-0.340030181,glucose,39999.36267,#N/A,36546.9618,8,baseMg,baseNa,0.705888466,33130.4096,0.758353544,0.785935286
stationary,glucose_24,24,0.082347481,-0.286962507,glucose,46932.49461,#N/A,45082.27664,8,baseMg,baseNa,0.53974781,36048.92786,0.70594232,0.814676511
stationary,glucose_48,48,0.054629898,-0.233730397,glucose,49980.28534,#N/A,48240.56709,8,baseMg,baseNa,0.469658757,34998.46884,0.721239745,0.713253795
late_stationary,glucose_168,168,0.056494082,-0.237684838,glucose,49374.32813,#N/A,47041.20253,8,baseMg,baseNa,0.511146589,31934.72622,0.774755879,0.712264867
late_stationary,glucose_336,336,0.115143501,-0.339328013,glucose,39150.70499,#N/A,36821.53589,8,baseMg,baseNa,0.701821384,17788.1955,0.930424825,0.754446908
exponential,glucose_3.1,3,0.226439797,-0.475856909,glucose,19141.88332,#N/A,11701.08315,9,baseMg,baseNa,0.969894919,33376.11711,0.755106407,0.601607668
exponential,glucose_4.1,4,0.226061343,-0.475459087,glucose,17851.60759,#N/A,10261.0825,9,baseMg,baseNa,0.976850549,33873.20356,0.747776693,0.587074463
exponential,glucose_5.1,5,0.223178591,-0.472417814,glucose,17956.6739,#N/A,10488.46183,9,baseMg,baseNa,0.975813382,34682.30151,0.735585244,0.573902315
exponential,glucose_6.1,6,0.214687148,-0.463343444,glucose,19888.42192,#N/A,14129.64134,9,baseMg,baseNa,0.956102443,35131.79796,0.72867052,0.584849405
exponential,glucose_8.1,8,0.197363293,-0.444255886,glucose,25032.43252,#N/A,19173.19763,9,baseMg,baseNa,0.919173454,31781.50834,0.777959558,0.688119363
stationary,glucose_24.1,24,0.096477743,-0.310608665,glucose,45470.84238,#N/A,43331.595,9,baseMg,baseNa,0.584435486,34546.66121,0.735914477,1
stationary,glucose_48.1,48,0.083169039,-0.288390428,glucose,47875.33879,#N/A,46209.77627,9,baseMg,baseNa,0.526348578,33643.53629,0.748997301,0.784963267
late_stationary,glucose_168.1,168,0.05858857,-0.242050759,glucose,47585.47004,#N/A,45673.5527,9,baseMg,baseNa,0.541341538,26704.22702,0.843239024,0.787722588
late_stationary,glucose_336.1,336,0.10988548,-0.331489788,glucose,41626.12278,#N/A,39676.99844,9,baseMg,baseNa,0.653876383,19848.23616,0.913400463,0.754176763
exponential,glycerol_5,5,0.180768245,-0.425168491,glycerol,27943.74755,#N/A,21937.84717,10,baseMg,baseNa,0.894158644,30253.75141,0.798746294,0.683847188
exponential,glycerol_7,7,0.192806252,-0.439097087,glycerol,25608.00733,#N/A,18527.6427,10,baseMg,baseNa,0.924511074,30754.7184,0.792037763,0.663711217
exponential,glycerol_8,8,0.201214784,-0.448569709,glycerol,24356.36582,#N/A,17266.10094,10,baseMg,baseNa,0.934442578,31564.31657,0.780949543,0.651951986
exponential,glycerol_10,10,0.205057987,-0.452833289,glycerol,22293.05755,#N/A,15922.4308,10,baseMg,baseNa,0.944249902,32789.24122,0.763621649,0.597359863
exponential,glycerol_14,14,0.121799786,-0.34899826,glycerol,38805.21229,#N/A,34645.02776,10,baseMg,baseNa,0.735828413,30834.62518,0.790781935,0.774717499
stationary,glycerol_24,24,0.091882008,-0.303120451,glycerol,43809.84473,#N/A,40805.77452,10,baseMg,baseNa,0.627603335,32449.33514,0.764611855,0.705597612
stationary,glycerol_48,48,0.064182603,-0.253342856,glycerol,46399.27221,#N/A,44263.29548,10,baseMg,baseNa,0.568244143,30007.66199,0.801605547,0.71947872
late_stationary,glycerol_168,168,0.140421924,-0.374729134,glycerol,33163.8737,#N/A,32759.50403,10,baseMg,baseNa,0.764056433,24866.5439,0.864080269,0.619497406
late_stationary,glycerol_336,336,0.164109226,-0.405103969,glycerol,33642.05766,#N/A,30193.74911,10,baseMg,baseNa,0.799366891,26081.82958,0.85032061,0.657186474
exponential,glycerol_5.1,5,0.223738607,-0.473010155,glycerol,23556.5326,#N/A,17319.13632,11,baseMg,baseNa,0.934012661,33172.54675,0.757961661,0.623203865
exponential,glycerol_7.1,7,0.198765064,-0.445830757,glycerol,25594.57443,#N/A,18988.59296,11,baseMg,baseNa,0.920695899,30896.60657,0.790081986,0.66195509
exponential,glycerol_8.1,8,0.194104667,-0.440573112,glycerol,27582.14547,#N/A,20526.47612,11,baseMg,baseNa,0.907228449,32439.19934,0.768342537,0.640044087
exponential,glycerol_10.1,10,0.128654642,-0.3586846,glycerol,40153.89095,#N/A,36015.31138,11,baseMg,baseNa,0.713288379,34263.63415,0.740550971,0.746287193
exponential,glycerol_14.1,14,0.097139465,-0.311672047,glycerol,45025.82219,#N/A,42694.24236,11,baseMg,baseNa,0.574599832,38395.3002,0.656428529,0.665458031
stationary,glycerol_24.1,24,0.050230914,-0.224122542,glycerol,50160.82221,#N/A,48228.65802,11,baseMg,baseNa,0.45594348,38574.10225,0.652819233,0.672465679
stationary,glycerol_48.1,48,0.169674661,-0.411915842,glycerol,32659.14443,#N/A,28897.41665,11,baseMg,baseNa,0.811231071,36048.70369,0.706051629,0.617279507
late_stationary,glycerol_168.1,168,0.139438399,-0.373414513,glycerol,37408.69464,#N/A,35179.27527,11,baseMg,baseNa,0.724622876,27349.57832,0.833623475,0.644382771
exponential,glycerol_5.2,5,0.203813785,-0.451457401,glycerol,27723.26757,#N/A,22322.24775,12,baseMg,baseNa,0.890377791,32238.05676,0.771398779,0.6804662
exponential,glycerol_7.2,7,0.181467415,-0.425989924,glycerol,28598.33663,#N/A,22885.65407,12,baseMg,baseNa,0.884631697,31615.6708,0.77986722,0.676850659
exponential,glycerol_8.2,8,0.169621409,-0.411851197,glycerol,31041.63047,#N/A,25536.91918,12,baseMg,baseNa,0.855648229,32772.83351,0.762285438,0.65000024
exponential,glycerol_10.2,10,0.158592971,-0.39823733,glycerol,36658.18767,#N/A,31486.83113,12,baseMg,baseNa,0.779928082,34783.76999,0.731470727,0.670757859
exponential,glycerol_14.2,14,0.065133722,-0.25521309,glycerol,49120.76366,#N/A,46229.14827,12,baseMg,baseNa,0.51316113,38222.40781,0.667477936,0.732702763
stationary,glycerol_24.2,24,0.051603853,-0.227164816,glycerol,50304.94511,#N/A,48382.27991,12,baseMg,baseNa,0.466468764,36520.20925,0.696374998,0.69609726
stationary,glycerol_48.2,48,0.041674712,-0.204143852,glycerol,51177.97864,#N/A,49705.94909,12,baseMg,baseNa,0.44391604,36318.09389,0.703319869,0.611051335
late_stationary,glycerol_168.2,168,0.171275504,-0.413854447,glycerol,35877.1129,#N/A,33709.53875,12,baseMg,baseNa,0.749319815,23223.98647,0.881041976,0.702259452
exponential,glucose_5.5,5.5,0.190538553,-0.43650722,nacl,27236.60368,5,20374.32249,13,baseMg,baseNa,0.908716308,31629.98358,0.780040439,0.693953853
exponential,nacl_200_6,6,0.192491392,-0.43873841,nacl,27131.23096,200,21718.19671,13,baseMg,highNa,0.896294464,31299.83794,0.784644111,0.683195405
exponential,nacl_300_8,8,0.239943239,-0.489840014,nacl,17378.6129,300,14663.65379,13,baseMg,highNa,0.952707149,33145.43898,0.758411188,0.599053927
stationary,glucose_28,28,0.053350866,-0.230978063,nacl,50676.47413,5,48965.49525,13,baseMg,baseNa,0.443283831,38599.21239,0.654751755,0.742956405
stationary,nacl_100_28,28,0.07217309,-0.268650499,nacl,48480.62305,100,47115.02411,13,baseMg,highNa,0.4884102,38996.57434,0.64998431,0.652471697
stationary,nacl_200_28,28,0.050648135,-0.225051405,nacl,48565.76142,200,48056.49129,13,baseMg,highNa,0.399111147,43543.84819,0.510448106,0.471940412
stationary,nacl_300_28,28,0.103345635,-0.321474159,nacl,44397.79042,300,43422.25602,13,baseMg,highNa,0.545391838,39645.90912,0.622016884,0.593834375
exponential,glucose_6.2,6,0.194895882,-0.441470137,nacl,24986.3979,5,17522.95151,14,baseMg,baseNa,0.932465372,32719.63027,0.764578094,0.644548377
exponential,nacl_100_6.5,6.5,0.092493311,-0.30412713,nacl,42642.90477,100,39194.5602,14,baseMg,highNa,0.661258532,33517.97524,0.752321854,0.79996517
