,Accounted for,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat m=0.5,Chemostat m=0.35,Chemostat m=0.20,Chemostat m=0.12,Statiory phase 1 day,Statiory phase 3 days,Osmotic-stress glucose,42C glucose,pH6 glucose,Xylose,Mannose,Galactose,Succite,Fructose
0,Glucose,0.0,-0.20883902481504352,-0.14026334379463493,0.06533328142601896,-0.012600773424913081,-0.007788945029208466,-0.041680184230589404,-0.058640903597479165,-0.12350751427975724,-0.07433441861905357,-0.050722845119031384,-0.05428129891414729,0.06268750262222482,0.06987249671484255,0.1804947825457039,-0.04607372962320372,0.11162182155173211,-0.01980027575634267,-0.02425029609946909,0.026148957417491077,-0.059952632237526345,-0.10753493279633346
1,LB,0.025278611625945725,0.0,0.03988771534194046,0.09764431266779344,0.052034953789790395,0.0526808822742698,0.0342096667299633,0.017593526193938436,-0.018213991845472764,0.009779785632268344,0.021260399339755393,0.014776435807959112,0.09344951834629528,0.0961531508488563,0.12617165196439392,0.005913252307456732,0.0811831304631904,0.027177823076874975,0.039759598507026796,0.059347565866028365,0.02267566035550483,-0.013090817899547207
2,Glycerol + AA,0.00860382000456016,-0.1594424358047165,0.0,0.09829664317986778,0.045081286289680465,0.04304537882319969,0.026471175262756916,0.00045037498046498917,-0.04997053825319088,-0.013587097481756303,0.0007271770782073106,-0.008690269516957982,0.08228097585549893,0.0870259280217152,0.13966869439255422,-0.01345504569915549,0.08488136164162129,0.016226326298089632,0.026005589286513527,0.05594422325543864,0.005011174359256707,-0.039441480948025194
3,Acetate,-0.16010459048508602,-0.2691928432719208,-0.22339844752254873,0.0,-0.18123688711130667,-0.15893081211164872,-0.1828475217871239,-0.2133056796192884,-0.2696318322100224,-0.18675551578059724,-0.13922041399631385,-0.12492405549008807,-0.00012382222375675005,0.007387822852127754,0.04443966259155081,-0.15260534458924135,-0.011567386688800668,-0.1387482303331051,-0.15830927865451747,-0.05554961588374934,-0.19276007872009948,-0.21098072387278138
4,Fumarate,-0.07847330410877275,-0.22653933989507524,-0.16572381420685411,0.13255310200696022,0.0,-0.033320408041394224,-0.08095871813758883,-0.1056319220586389,-0.18438302973307985,-0.09379837426946935,-0.04629250713109273,-0.04447843999306723,0.05034284362878759,0.05628893959453545,0.10475783994467927,-0.08422059319152858,0.049678474170316185,-0.061222039230816795,-0.044597442424389636,0.04900595279789117,-0.09989979915081115,-0.1379612971720287
5,Glucosamine,-0.07370388750831525,-0.2253548103812648,-0.16332385852482056,0.09610825636078728,-0.02188257762792186,0.0,-0.07454862931498384,-0.09333695850852385,-0.1971304412113229,-0.09011329611983374,-0.04334116493642829,-0.04395367561801676,0.0664838946447932,0.07136875211168696,0.12834999242797607,-0.07910638413970258,0.07001461449386145,-0.05383530036863031,-0.04016114082155559,0.044137580378080514,-0.08984837713716527,-0.14076493237297796
6,Glycerol,-0.04005393005561511,-0.20974963119621254,-0.14197805684095904,0.11003489256006217,0.020599721093635767,0.007311103380469545,0.0,-0.05176882629406928,-0.13287280003582327,-0.06002052496002585,-0.025469813570556558,-0.029934822534444204,0.06872589357275793,0.07563643419711223,0.1378557187142164,-0.05209543074034919,0.08369198970131819,-0.025139967316579043,-0.0007289385202004127,0.06819817702937732,-0.05071531006259104,-0.10734873983951772
7,Pyruvate,-0.02854686796092893,-0.2019394575293806,-0.13046130583812846,0.14832961588356622,0.05069301550853836,0.027089853797702075,-0.013686073400146853,0.0,-0.11778877586748343,-0.04531253703276952,-0.011113203568552199,-0.015658164465213557,0.0717779904193432,0.07839695401779398,0.13708714128461932,-0.043418348426216426,0.08250993910842457,-0.014072649609611965,0.018918877357883817,0.07670263175660652,-0.03256480971428202,-0.09149417081250817
8,Chemostat m=0.5,0.018035774790649547,-0.169753797395156,-0.0849914086978385,0.1949414837642923,0.11589994434370977,0.13791199490075473,0.05381013620256691,0.03941136234339303,0.0,0.10518308234923476,0.11708601383626184,0.0735368255762486,0.10689494554500464,0.11300362692889282,0.16066403336941465,0.0014917408180559878,0.11933350489505098,0.03511039068298241,0.09290926410914749,0.12928374902599446,0.04060157588573836,-0.023149480096019786
9,Chemostat m=0.35,-0.055096584848738715,-0.20173703520732597,-0.13163565332577312,0.10604626825652479,0.017833458866036742,0.01632301799361352,-0.035223041802105906,-0.04670868546780276,-0.15294707604863814,0.0,0.07990157187042536,0.03556829430864387,0.06305806136468203,0.06824253996853552,0.09185285416788445,-0.06012078274114298,0.051295296016337574,-0.037736529380372676,0.0007360885571869943,0.07075649189924461,-0.04358349796315152,-0.09406466530708849
