,Accounted for,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat m=0.5,Chemostat m=0.35,Chemostat m=0.20,Chemostat m=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
0,Glucose,"[0, 0]","[-0.18322641007200213, 3.624497611672279e-15]","[-0.12938048877213112, 3.1761402218614953e-08]","[0.04229677138453195, 0.0716199520786906]","[-0.038474879696462176, 0.10129331679394891]","[-0.025182137984223182, 0.28360284390613394]","[-0.06887723502816087, 0.0033265698851950654]","[-0.08299636931643845, 0.00040080801583839993]","[-0.13390233096299473, 1.0252864291215668e-08]","[-0.09104717910383418, 0.00010264045834887351]","[-0.07530461839420687, 0.0013248675281476384]","[-0.0754470490442205, 0.0012970678001353868]","[0.028139358385781084, 0.2308285402116503]","[0.02874924194160697, 0.22087380012021635]","[0.13312186422207398, 1.2496305628347248e-08]","[-0.06233123649755913, 0.00790173879405661]","[0.06679558365332434, 0.004414732305615245]","[-0.041234220659685066, 0.07904903516641028]","[-0.034025193554133366, 0.14734037930633648]","[-0.0005253588110955591, 0.9821557245123864]","[-0.07456091274436964, 0.0014791576537413259]","[-0.12367765748120638, 1.252310001298292e-07]"
1,LB,"[-0.001118448902256163, 0.962022071516204]","[0, 0]","[0.012292560421165728, 0.600726061246976]","[0.05685326385977592, 0.015418370668152145]","[0.009146216898734856, 0.6969844843000849]","[0.01742331215993777, 0.4581920944170038]","[-0.00731864506640759, 0.7553564942120992]","[-0.021630019316635937, 0.35706470728330963]","[-0.05406889606643807, 0.02124592457178641]","[-0.03060660846719829, 0.19246050093274175]","[-0.02482576756842787, 0.2904742105107615]","[-0.028334155665184362, 0.22761494898602663]","[0.044808058278503336, 0.056314617717102645]","[0.04308133924852484, 0.06650955790895423]","[0.08177592205424199, 0.0004878755800619562]","[-0.026372563849654817, 0.26145160460251654]","[0.03680467314942003, 0.11701338306429335]","[-0.007935237038820427, 0.7354868781980711]","[0.006576942272548657, 0.7794727012456403]","[0.017660444727464746, 0.4520961666699962]","[-0.013937958332167665, 0.5529027646373066]","[-0.04796626839835362, 0.041026069542543966]"
2,Glycerol + AA,"[-0.005893836801101344, 0.8018734529687364]","[-0.13153173754642558, 1.8635599224151315e-08]","[0, 0]","[0.06837724175147522, 0.003562957332737451]","[0.01001843022759426, 0.6697216858079593]","[0.018697828900490227, 0.4259733400767921]","[-0.008936811122629994, 0.703590157924887]","[-0.03098652701751684, 0.1869950879251347]","[-0.07281270976595536, 0.0019091676755000188]","[-0.041474746619851836, 0.07731471406651567]","[-0.03374142148690868, 0.15074686153583003]","[-0.039620225987293804, 0.09152013754211849]","[0.04214053591468353, 0.0726750529368863]","[0.041110148391216815, 0.07995594841123065]","[0.10262282000054816, 1.1836446258365545e-05]","[-0.03540963938172422, 0.1315586240301162]","[0.0475294248918266, 0.042904689760116556]","[-0.009698185833323141, 0.6796834703268555]","[0.004367612731058001, 0.8524876557240448]","[0.022036775946281957, 0.34809237515821045]","[-0.02165621221859375, 0.35648259079145583]","[-0.06362280474006897, 0.006700165355583182]"
3,Acetate,"[-0.14334648668215505, 8.54476642425739e-10]","[-0.2340891235046263, 5.157778932260399e-24]","[-0.19923599587834864, 1.0510999724124785e-17]","[0, 0]","[-0.17744572047717078, 2.6372113791147226e-14]","[-0.1407432306653101, 1.7235547462197471e-09]","[-0.18703338328173172, 9.461437774803687e-16]","[-0.2091991528867006, 2.1339195604905901e-19]","[-0.2599948189250892, 1.9955705861673017e-29]","[-0.1798417442457438, 1.1678073653812565e-14]","[-0.14450989423160215, 6.219035544267245e-10]","[-0.12871790046587525, 3.736521221189414e-08]","[-0.0187128338574279, 0.4256020661448633]","[-0.018208171614573495, 0.43819238919467907]","[0.02622684664746483, 0.26409701125954327]","[-0.14929929341141226, 1.6368208723442337e-10]","[-0.029131143314195546, 0.21479901160922396]","[-0.13711384492640066, 4.4877523585844645e-09]","[-0.14236359365784795, 1.115332980168104e-09]","[-0.06015366147482494, 0.010369100684928044]","[-0.18454430440202743, 2.284218459549091e-15]","[-0.2069801665834474, 5.172772533753482e-19]"
4,Fumarate,"[-0.06102179791139217, 0.009313335948250458]","[-0.18926864167701038, 4.242777608469923e-16]","[-0.13788677481986306, 3.6679173751545486e-09]","[0.1231052244658085, 1.432439954714629e-07]","[0, 0]","[-0.016865936337716894, 0.4727002831541599]","[-0.08278281892473424, 0.00041491226951688106]","[-0.10123881016100866, 1.5518771279615207e-05]","[-0.16763712491646812, 6.583661663414066e-13]","[-0.08940315373167604, 0.00013682333713527068]","[-0.05542280041335087, 0.01820825185576384]","[-0.051120900748156776, 0.029419591740086057]","[0.02976225970211391, 0.20502541125517118]","[0.029288452639797038, 0.21233205270211072]","[0.08395899787274384, 0.0003426104108528287]","[-0.08128410806127447, 0.0005277072584487869]","[0.02908312613929539, 0.21555612349550057]","[-0.06026033978064361, 0.01023387196713477]","[-0.02679355861468586, 0.25391175174766867]","[0.03972144614622032, 0.09069416360505393]","[-0.08630744484167883, 0.00023206794959537867]","[-0.13156752414103068, 1.8469696552206935e-08]"
5,Glucosamine,"[-0.06763726905080658, 0.00394089166982641]","[-0.1940971874234415, 7.252012704519871e-17]","[-0.14465426492056313, 5.977555643485801e-10]","[0.07052923013387896, 0.00264345162243704]","[-0.044545342619121485, 0.057776287571349005]","[0, 0]","[-0.09254928307225173, 7.860275397179116e-05]","[-0.10756038460597987, 4.378683600651513e-06]","[-0.18783274666836997, 7.110390805731116e-16]","[-0.0995105671126636, 2.165990052430356e-05]","[-0.06576310939985969, 0.005066140539985725]","[-0.061568504521637604, 0.008698701954667307]","[0.03641309650911719, 0.12096256272520148]","[0.0346033190367334, 0.14058270713202956]","[0.09448254097098076, 5.5428966151697896e-05]","[-0.08611869004396222, 0.0002395348678602367]","[0.03684956865720424, 0.11656713640962904]","[-0.06500638429625563, 0.005597411899219535]","[-0.040727682283378204, 0.08280488439159989]","[0.02238342030342393, 0.3405600780934571]","[-0.09516074530929361, 4.8959291611910505e-05]","[-0.14364633546100333, 7.874899701502101e-10]"
6,Glycerol,"[-0.01941013224464757, 0.40855767552334177]","[-0.1714114201990534, 1.9518184542746267e-13]","[-0.11166556082366055, 1.8522420707786824e-06]","[0.11037656331957726, 2.43472445011957e-06]","[0.01577399303806766, 0.5018413399556739]","[0.016514621477876232, 0.4819730953661866]","[0, 0]","[-0.052540395719094087, 0.02519675044113084]","[-0.12101493861123563, 2.3279495693499053e-07]","[-0.0591842017016841, 0.011672706529356161]","[-0.03644824444329966, 0.12060388162470746]","[-0.03852768577396224, 0.1008251597274032]","[0.04829914239044365, 0.03964173738649169]","[0.04861506151323293, 0.03836475588429062]","[0.11860809903877323, 4.0317072699231436e-07]","[-0.04797733128698878, 0.04097941299530399]","[0.06444808640544318, 0.006021026024238384]","[-0.022672089815514346, 0.33436776390877887]","[0.014307252318054926, 0.542431310730163]","[0.05390001577965, 0.02165416990428272]","[-0.041785014837656016, 0.07512339893154503]","[-0.09953247563935066, 2.156926858317414e-05]"
7,Pyruvate,"[-0.012068608103412903, 0.6073770067158549]","[-0.16572369671750894, 1.2066100761151304e-12]","[-0.10478355862504801, 7.701501342573885e-06]","[0.13723343378163805, 4.350163951269619e-09]","[0.03585510562495351, 0.1267691886595979]","[0.030310609516623222, 0.19679930349303565]","[-0.019396076051305965, 0.40889719649765544]","[0, 0]","[-0.10632697019401449, 5.636602860118189e-06]","[-0.04737451259288741, 0.043588103852836624]","[-0.025854773870137453, 0.2709352283645368]","[-0.02768207546086503, 0.2384986168200315]","[0.04811068100160208, 0.040420550083416995]","[0.04848212483417363, 0.03889777933232602]","[0.11364142380082697, 1.2109307324518118e-06]","[-0.041947815320454544, 0.07399402399276717]","[0.06157099836950974, 0.00869598328257779]","[-0.015562549336367125, 0.5075920234774408]","[0.02940737711591527, 0.21048067418147803]","[0.05761065065015819, 0.014099279787687595]","[-0.026903484906614938, 0.25196816304238484]","[-0.08605711893373615, 0.0002420188667297276]"
8,Chemostat m=0.5,"[0.01873190215261332, 0.42513052377053206]","[-0.13837486877091704, 3.227342081478009e-09]","[-0.06641326412340891, 0.00464653935366593]","[0.18091340951251855, 8.082580752351204e-15]","[0.09207452044637386, 8.555616912957491e-05]","[0.11884996817500557, 3.8170570214385687e-07]","[0.03726799491242291, 0.11247208696529472]","[0.019867892212431834, 0.3975926098136887]","[0, 0]","[0.07088637945877851, 0.002513756659535084]","[0.07556554604656963, 0.0012743504759406168]","[0.046978568305620916, 0.04537672277986817]","[0.07603814614796221, 0.0011873499702073967]","[0.0770551617128915, 0.0010184100640568952]","[0.13384948504787264, 1.0391532416317507e-08]","[-0.0067272263775313874, 0.774568260434383]","[0.08896958959313248, 0.00014748163231706433]","[0.024364076558146583, 0.299541469873447]","[0.08551108586289777, 0.00026512889536236026]","[0.10159185503958788, 1.4487440966134886e-05]","[0.0315776727240381, 0.1787200895882611]","[-0.030790040986644666, 0.18980721368783662]"
9,Chemostat m=0.35,"[-0.05097530690850692, 0.02988528923868571]","[-0.1701034793035568, 2.9839058145675147e-13]","[-0.1129755143207843, 1.398527836065021e-06]","[0.09027917690724159, 0.00011746170590463515]","[0.007318854734458867, 0.7553497092645627]","[0.016686476967390527, 0.4774247344558503]","[-0.04650634245856329, 0.04759036525564775]","[-0.05732147987297354, 0.014590682430125882]","[-0.1300469236253016, 2.6950398747513403e-08]","[0, 0]","[0.04896225774581536, 0.03700181635586163]","[0.018743476844490854, 0.4248444404642582]","[0.039039557604594405, 0.09637587964657797]","[0.03871713184214061, 0.09915976955640596]","[0.06854649633781175, 0.003481279757877525]","[-0.0640795172036442, 0.006316276877282644]","[0.026926235533963075, 0.2515672109681437]","[-0.0437831551226572, 0.06219612714947194]","[0.002341160609470326, 0.9206051593957322]","[0.056421210799159544, 0.016218478038092135]","[-0.044794033856023846, 0.05639186055465799]","[-0.0959954689665972, 4.1976439872288766e-05]"
