Gene Name,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat m=0.5,Chemostat m=0.35,Chemostat m=0.20,Chemostat m=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
rpoC,2778.519359,7164.365261,4503.008971,2179.987893,2444.360952,3315.67048,2844.543315,2729.853857,4780.473046,3900.470038,3476.946247,2999.575266,1734.813718,1907.402304,2247.844772,3985.374673,3339.35098,3631.530693,3401.4392,2258.169809,2764.093478,4516.849523
rpoB,3957.434464,8888.466379,5198.56085,2661.253272,3198.783333,3999.083577,3748.809939,3714.432333,5244.783448,4388.325065,3859.598708,3455.099309,2378.505976,2226.871744,3253.953113,4922.674021,4031.662066,4437.013516,4142.901444,2820.449491,3855.147645,5269.436583
acnB,7595.542046,16599.7194,17548.34193,22843.96745,19491.48406,13752.78138,10792.19185,16395.21969,15733.20992,20261.12345,16409.54997,13763.33797,933.3022665,756.4783682,2814.510432,4841.834921,4648.925392,6697.447166,16516.92006,12875.3024,19547.13206,8782.370172
purL,2456.265985,820.6857374,2339.023495,1437.660376,2071.498566,1958.940131,2067.728776,2708.09734,2285.246876,1730.342352,1467.936016,1218.805606,617.6620338,734.8774143,1318.125833,1885.490251,1708.222151,1720.754608,1764.284838,1570.497687,1913.471944,2405.72135
gltB,2858.930632,604.3058579,651.9510592,1362.610998,1280.730747,1977.280635,2203.878713,1690.779906,2321.416779,1959.48204,1771.177248,1379.003085,229.5715312,183.1180431,833.5774325,2979.36133,2723.477662,2496.134667,2078.529818,1398.105174,1552.87403,3858.169347
aceE,5814.613174,11819.71447,6671.33053,2445.225832,4521.358461,4198.237573,4066.870025,15791.00015,5883.820961,5275.353462,4409.044726,4794.042232,5278.592384,5888.006303,6282.654697,6982.688782,9459.14105,10242.50757,4904.556077,3263.114359,4738.749471,9413.603219
adhE,4851.082598,5471.633197,5634.479028,4510.324573,4007.154095,7360.876467,5185.608075,3292.324648,10353.74997,7637.438788,7837.477439,8009.33827,7037.524404,6714.462917,5215.502541,9028.758571,9015.416459,8391.169911,5977.234757,6323.829286,4052.323576,19994.34496
tufA,252452.0564,443852.2632,368887.954,149277.6652,190255.6784,173736.4311,191041.1376,187232.9983,180818.6865,142246.7739,112618.1482,102131.3354,86995.52756,88446.73567,214484.392,250232.3876,192346.4034,216763.9107,192017.0341,140284.5468,195882.7187,233115.9279
metE,51584.19461,1711.151864,1690.463055,17413.3993,19718.93511,23978.26969,28808.03106,18643.23531,27207.97588,13267.73594,8295.193213,4243.479798,3382.023702,3562.895018,30108.98434,32361.83789,25743.72316,32790.20749,26643.44497,11659.56434,19185.4231,38847.64227
groL,22739.32226,65886.55854,57319.44889,19539.781,26421.52992,23090.45976,26357.68802,22919.1365,25954.20308,23701.83975,17810.6675,16980.15793,26509.23009,25773.90997,22879.4167,65428.40541,26820.97967,26428.2192,27239.00988,15632.1542,26639.07591,24906.09175
