Phase,Conditions,Growth Time,R2s,Type,Glucose r2,Mgso4 r2,Nacl r2,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch,Mg Type,Na Type,Correlation to glucose_4
exponential,glucose_3,3,-0.480000844,glucose,-0.480000844,#N/A,#N/A,21628.94163,#N/A,13632.73298,8,baseMg,baseNa,0.959127054
exponential,glucose_4,4,-0.486022226,glucose,-0.486022226,#N/A,#N/A,17812.09679,#N/A,0,8,baseMg,baseNa,1
exponential,glucose_5,5,-0.462727989,glucose,-0.462727989,#N/A,#N/A,25316.19907,#N/A,20330.06015,8,baseMg,baseNa,0.908942408
exponential,glucose_6,6,-0.472920377,glucose,-0.472920377,#N/A,#N/A,19669.1822,#N/A,12112.42449,8,baseMg,baseNa,0.967734325
exponential,glucose_8,8,-0.340030181,glucose,-0.340030181,#N/A,#N/A,39999.36267,#N/A,36546.9618,8,baseMg,baseNa,0.705888466
stationary,glucose_24,24,-0.286962507,glucose,-0.286962507,#N/A,#N/A,46932.49461,#N/A,45082.27664,8,baseMg,baseNa,0.53974781
stationary,glucose_48,48,-0.233730397,glucose,-0.233730397,#N/A,#N/A,49980.28534,#N/A,48240.56709,8,baseMg,baseNa,0.469658757
late_stationary,glucose_168,168,-0.237684838,glucose,-0.237684838,#N/A,#N/A,49374.32813,#N/A,47041.20253,8,baseMg,baseNa,0.511146589
late_stationary,glucose_336,336,-0.339328013,glucose,-0.339328013,#N/A,#N/A,39150.70499,#N/A,36821.53589,8,baseMg,baseNa,0.701821384
exponential,glucose_3.1,3,-0.475856909,glucose,-0.475856909,#N/A,#N/A,19141.88332,#N/A,11701.08315,9,baseMg,baseNa,0.969894919
exponential,glucose_4.1,4,-0.475459087,glucose,-0.475459087,#N/A,#N/A,17851.60759,#N/A,10261.0825,9,baseMg,baseNa,0.976850549
exponential,glucose_5.1,5,-0.472417814,glucose,-0.472417814,#N/A,#N/A,17956.6739,#N/A,10488.46183,9,baseMg,baseNa,0.975813382
exponential,glucose_6.1,6,-0.463343444,glucose,-0.463343444,#N/A,#N/A,19888.42192,#N/A,14129.64134,9,baseMg,baseNa,0.956102443
exponential,glucose_8.1,8,-0.444255886,glucose,-0.444255886,#N/A,#N/A,25032.43252,#N/A,19173.19763,9,baseMg,baseNa,0.919173454
stationary,glucose_24.1,24,-0.310608665,glucose,-0.310608665,#N/A,#N/A,45470.84238,#N/A,43331.595,9,baseMg,baseNa,0.584435486
stationary,glucose_48.1,48,-0.288390428,glucose,-0.288390428,#N/A,#N/A,47875.33879,#N/A,46209.77627,9,baseMg,baseNa,0.526348578
late_stationary,glucose_168.1,168,-0.242050759,glucose,-0.242050759,#N/A,#N/A,47585.47004,#N/A,45673.5527,9,baseMg,baseNa,0.541341538
late_stationary,glucose_336.1,336,-0.331489788,glucose,-0.331489788,#N/A,#N/A,41626.12278,#N/A,39676.99844,9,baseMg,baseNa,0.653876383
exponential,glycerol_5,5,-0.425168491,glycerol,#N/A,#N/A,#N/A,27943.74755,#N/A,21937.84717,10,baseMg,baseNa,0.894158644
exponential,glycerol_7,7,-0.439097087,glycerol,#N/A,#N/A,#N/A,25608.00733,#N/A,18527.6427,10,baseMg,baseNa,0.924511074
exponential,glycerol_8,8,-0.448569709,glycerol,#N/A,#N/A,#N/A,24356.36582,#N/A,17266.10094,10,baseMg,baseNa,0.934442578
exponential,glycerol_10,10,-0.452833289,glycerol,#N/A,#N/A,#N/A,22293.05755,#N/A,15922.4308,10,baseMg,baseNa,0.944249902
