Gene Name,Glucose_6hr_exp1,Glucose_6hr_exp2,Glucose_6hr_exp3,Glucose_24hr_exp1,Glucose_24hr_exp2,Glucose_24hr_exp3,L-Lactate_6hr_exp1,L-Lactate_6hr_exp2,L-Lactate_6hr_exp3,L-Lactate_24hr_exp1,L-Lactate_24hr_exp2,L-Lactate_24hr_exp3,Pyruvate_6hr_exp1,Pyruvate_6hr_exp2,Pyruvate_6hr_exp3,Pyruvate_24hr_exp1,Pyruvate_24hr_exp2,Pyruvate_24hr_exp3
Rv0001,5762965,5271585,4689634,7137262,6267873,5059260,4540057,3233347,3420871,5105441,2959460,4179310,7232438,4460455,2876585,4211497,2619494,2094281
Rv0002,1181564,1394050,1208989,1034496,1103374,1102307,1111825,1338981,1573227,1115618,1068792,1002035,2289255,1879472,1459014,954266,979886,862900
Rv0003,1631192,1318518,1244069,1407682,1368959,1148955,1350912,1216841,1456332,1557517,1320668,1139992,3002933,1812453,1481875,1393352,1224948,951852
Rv0004,696850,688370,586073,628052,673903,510743,606148,586487,649757,759674,604836,493469,1120143,709624,520001,630849,620512,466745
Rv0005,15186581,16204336,14126397,17434348,19046557,13772643,18479903,16703940,18372270,25604548,15053201,18494474,29279233,19593338,16232503,22158309,23491888,19465606
Rv0006,10873067,12361982,11628517,13373997,14565001,11514982,12034072,11888113,13776738,17024615,11637818,12846607,18626373,13651491,11448912,15607883,17147235,13542554
Rv0007,2461668,2775431,2534744,2827275,2910803,2285741,2513588,2309188,2744278,3655744,2426774,2600859,4272791,3073835,2499567,3123651,2889405,2326056
Rv0008c,161118,184243,177745,130236,148833,135501,118007,122139,149247,132829,102389,116495,248758,215691,150841,105536,80045,66292
Rv0009,4005075,5866969,4809787,3732435,3846761,3973146,4137633,5285386,4976044,4805076,2857047,4242982,10189932,9206549,6226377,4035751,3511378,3525528
Rv0010c,1217216,1206462,1136137,1174961,1249629,1115598,1185213,1112208,1218238,1419186,830114,1106375,2707705,1849099,1371029,1344518,1058202,959274
Rv0011c,709194,618844,541162,604229,751872,498333,547999,418168,528623,698005,478671,491548,1333690,747942,600485,644687,593467,487276
Rv0012,1063408,1269836,1041031,1239027,1508907,974273,975101,1022645,1107616,1057686,928608,764344,1667778,1233932,896854,975758,1119241,905420
Rv0013,1980687,1833724,1779214,1641256,2051635,1330482,1418084,1407399,1664765,1506454,1305129,1215670,2673439,1966766,1543169,1370160,1354227,1042869
Rv0014c,3536948,3689051,3323490,3816656,4434035,3108150,3341442,3045687,3185202,4050738,2637414,2868238,4879800,3269722,2341390,3887991,3859057,3097743
Rv0015c,3096208,3807622,3584506,4178435,4567614,3469039,3481138,3399478,4004068,4915490,3779192,3418856,4870408,3879766,2804671,3944922,4060046,2961078
Rv0016c,3185334,3297096,2990035,4025522,4524226,3101289,2939084,2701452,2945354,3734576,2970539,2550716,4098675,2736082,1885780,3720922,3808940,2785235
Rv0017c,1472379,1509660,1462538,1818237,2099495,1436133,1270418,1293257,1375683,1616549,1214488,1227506,1745759,1236367,968375,1612605,1809225,1415052
Rv0018c,4167990,4298054,3780340,5347800,6489914,4143678,4131894,3899246,4144507,4989674,4078557,3481301,5052426,3543138,2558434,4924033,5258967,3824397
Rv0019c,834795,936695,758577,909658,1076843,641059,841681,971472,930116,1102243,1049063,735734,1373777,1036276,753302,1096404,1255549,798345
Rv0020c,9310323,11260358,9562726,10642562,11966506,8823177,10360512,10732263,11462505,12681166,10126846,9230672,16913362,13331422,9224296,13343581,14848888,11838723
Rv0021c,383410,444570,390228,338747,355705,257155,339462,322168,370016,344423,329183,269922,569666,417555,327514,282899,294499,281829
Rv0022c,18955,17399,23739,24813,23760,25295,11021,9121,16312,18387,10040,12319,14405,15908,12926,14778,18063,15012
Rv0023,395740,438746,420365,413847,572058,384830,276409,262845,427199,368707,348556,223270,527471,432292,299015,451631,648276,481307
Rv0024,331977,384624,382835,527644,571943,436754,285928,267394,306212,432429,375063,253749,474902,311222,233096,424123,570470,441927
Rv0025,312740,352856,328980,446881,455318,393592,244666,232619,272098,314907,270882,238872,392046,288421,201295,324399,346236,291216
Rv0026,1013660,895664,866170,935183,1010643,663737,666015,548886,601039,864753,609233,565155,1330664,868246,632835,705453,686266,505011
Rv0027,234383,276564,249567,236433,273917,194461,170508,217204,198773,234008,185424,191835,357606,299453,205159,219217,244692,226603
Rv0028,103699,114323,97806,103193,135728,87255,88109,90643,79545,112985,94526,80582,174096,117925,78716,95934,127467,94335
Rv0029,591300,671380,517992,653013,726478,463421,559825,530607,550309,756305,661630,433301,868974,638032,365471,500591,552375,460781
Rv0030,95323,81928,71957,85680,77049,69113,93645,68072,78220,100216,111283,65828,175186,103722,64335,79414,63241,44252
Rv0031,180888,149362,116831,178368,187579,150987,228330,129912,167337,186130,167597,123016,289308,155121,92332,155523,158405,117216
Rv0032,676277,845520,779856,586533,554666,510295,363929,370789,431922,490334,341367,428387,872666,656934,460944,446001,427420,460160
Rv0033,160861,302236,263132,166578,170831,194627,76068,123660,105911,110341,80233,120107,210997,210052,139760,124364,151787,186069
Rv0034,39127,68480,64747,44964,43666,47496,21211,29267,30348,23658,26640,28754,49584,47820,32469,29957,33371,43544
Rv0035,755681,907047,895656,783643,695108,714884,430206,481802,582767,594626,448238,505534,1038945,779611,544825,573432,531866,622467
Rv0036c,1303904,1636465,1501822,1490536,1568321,1398922,1002881,1230966,1550896,1250942,1145504,1012578,1814429,1509527,1090515,1182420,1159799,1121239
Rv0037c,578338,922004,721082,657687,743495,581352,544357,651877,823121,768443,621099,506809,945245,823682,576125,567662,564139,488230
Rv0038,1305315,1797013,1343094,1580212,1975344,1297744,1314566,1362176,1458736,1769290,1915256,1148646,2223890,1614288,924871,1658508,2030346,1558824
Rv0039c,266626,372699,343188,407596,397288,387142,313327,259376,357172,361877,414452,290256,459504,355757,223160,296666,246633,168575
Rv0040c,602050,751836,756643,1534731,1301187,1065059,338687,337378,349195,1177823,917842,697239,558019,416415,252821,901838,953053,570446
Rv0041,1993980,2309445,1915637,1819865,1809626,1423749,1778928,1788328,2125730,2322121,2050936,1645055,3375980,2456515,1699601,1965382,2036473,1683739
Rv0042c,1648678,1679363,1659860,1696380,1867197,1766978,1121613,857133,1105173,1288159,906187,1054865,2203880,1398661,1056073,1499108,1212359,1050570
Rv0043c,347925,451108,363767,307076,348900,265706,258058,317997,323513,331384,254651,254702,527900,395298,298718,311950,369780,290780
Rv0044c,293866,517419,383826,349150,479770,320217,206118,349052,311740,267035,263824,258450,369113,364208,223069,300864,466185,366379
Rv0045c,281511,323275,265843,333518,394926,278966,471418,484267,668224,455148,555248,461428,514281,357999,278459,325716,335501,247447
Rv0046c,2567267,3401572,2574002,4889121,6272459,4660335,5992832,7415530,9507501,5692213,6266891,6592008,4260562,3293791,2742172,3985172,4266921,3034158
Rv0047c,815967,667029,540447,1433797,1547776,1152518,2255274,1189764,2168446,2039749,1991564,1985662,1469911,717607,702600,1143281,868573,589423
Rv0048c,475166,607489,541051,518710,592679,482674,418266,537322,640205,472812,451916,498772,713728,586590,542490,419170,550148,461043
Rv0049,1255095,2146103,1461742,1343459,1615593,1118170,1084947,1328137,1453795,1546411,1622694,1080404,1947435,1756505,1014916,1321728,1665241,1326976
Rv0050,6015450,6846660,6413514,8376063,8124739,6597303,5951788,5367461,6241207,8463872,5540770,6176971,9024248,5944371,4750546,6831863,7372868,7066668
Rv0051,1638929,1821280,1577996,2158573,2378063,1577978,1410923,1426521,1564142,2105145,1857085,1515005,2336552,1648528,1197186,1879152,2093790,1657139
Rv0052,419589,405777,363004,505514,571477,392239,371371,316961,351391,573034,480030,378784,584078,396533,279919,480625,455664,354813
Rv0053,1048776,1257954,1133212,476733,463345,372160,771856,851378,1362837,763455,755675,688269,3078920,2698570,1899299,321364,292508,312400
Rv0054,2525025,3220952,2843157,1643601,1441964,1549141,1869721,2041873,3252893,2106582,1693462,2112758,6245422,5592161,3958938,1098363,1003045,1034971
Rv0055,1883158,3144533,2357476,1110391,1583038,910114,1133568,2950202,2824860,1366473,1493260,1770518,4290123,4844961,3776777,1114365,1481582,1200029
Rv0056,2487063,4237799,3325258,1660107,1859101,1374083,1725526,2958348,3365438,2333011,2152693,2440558,6301132,5937495,4671118,1444188,1681536,1613452
Rv0057,2284982,2507312,2181478,1247533,1387742,830649,1343561,1349303,1863866,2111174,1778368,1519783,5304310,3909017,3140075,1025237,1197900,951191
Rv0058,5518649,6281447,5687997,3783844,3673535,2625812,3701671,3967466,4543995,4844706,3846635,3436810,9027225,6340397,5248050,2911649,3034625,3111332
Rv0059,1477610,1175023,1183405,896482,858891,605475,940836,687765,884511,1069393,626437,788619,2057640,1090793,972319,740343,681975,726044
Rv0060,4235815,3939279,3501400,3421845,3579958,2483073,2845705,2353205,2838500,3396585,2486227,2572184,4915708,3467527,2429323,2746458,2970964,2814317
Rv0061c,983433,1541831,1292120,942695,1037379,920710,1375878,2076263,2534080,1752704,1447514,1743154,2113046,2135732,1676060,1313425,1509239,1492089
Rv0062,1096515,1760450,1659597,651652,770807,675496,902468,1444385,2131589,1364301,1707532,1736171,3259089,3508039,2556857,730428,862828,837460
Rv0063,329132,379489,386234,429592,419639,254678,194271,203191,241785,601437,638052,454735,499314,343365,243320,504647,533945,313908
Rv0064,1337791,1426603,1192633,2082772,2558440,1354628,893568,914353,871738,2054571,1561623,1211760,1409506,878823,663581,1703887,1923761,1211013
Rv0064A,96840,95373,90014,144385,134910,96455,67496,57035,57754,136516,110469,101310,114656,88862,59273,105179,107364,64979
Rv0065,143456,125405,127220,219166,195021,165912,129124,92309,105318,197099,152342,145245,207683,127236,98497,204603,170459,134352
Rv0066c,1423956,1881625,1562810,2562295,2591568,2124270,1568828,1950465,1836855,2283312,1765692,1680320,2386343,2074661,1368922,2611548,3625280,3717577
Rv0067c,70345,74750,74302,109109,116372,70790,70928,53228,78771,103102,101186,50129,108061,82550,51035,102392,128679,97838
Rv0068,150354,147676,143654,172509,186063,127990,79261,67217,93005,171068,144399,116542,174861,120436,94887,110875,96350,83457
Rv0069c,813767,764372,723586,679670,672537,468139,348393,292716,390467,768547,615865,553776,681779,369139,305742,284681,314773,281613
Rv0070c,730770,566170,653172,554302,490774,343136,280927,267871,314517,609967,365054,474405,725629,357811,292790,237980,223721,227950
Rv0071,113377,112976,99755,114093,119375,83534,79178,73784,91402,134581,131011,96696,163226,108774,83368,95504,108859,76018
Rv0072,1702165,1857250,1573451,1801867,1967456,1492907,1466535,1222692,1527305,2070724,1499049,1353533,2757835,1848769,1421537,1763057,1613088,1356392
Rv0073,2072122,2212862,1961565,2208783,2549625,1708057,1741805,1686694,1874265,2551515,2277037,1649506,2913008,2051759,1518626,2252060,2401645,1830779
Rv0074,1701457,1744090,1681806,2031564,2204935,1559472,1306062,1227149,1464202,2096299,1743795,1336927,2225190,1609635,1191066,1664829,1838778,1371998
Rv0075,1146804,1129668,1097641,1262061,1367182,1008910,871952,714725,959164,1216351,900713,860046,1407739,907387,731664,969095,1013007,804680
Rv0076c,368283,352752,333169,302968,308188,285330,252700,226321,359860,348621,274254,332685,496398,349261,293901,241752,260321,247204
Rv0077c,41467,51176,52494,49852,60941,45708,24862,35855,56171,54024,41891,48399,65810,60165,60836,47811,54680,55548
Rv0078,88333,122807,110200,99998,109467,78679,80305,78645,117688,146845,101491,125680,145149,100645,110902,115609,137306,125151
Rv0078A,798095,899634,757183,1059035,1139890,878774,935464,707330,1071419,1178779,1121614,971525,1258727,939987,819918,960360,1365164,1195471
Rv0079,368232,1956774,939534,438934,1867169,575060,506729,1060175,12566140,1203782,1104177,7367523,447251,862025,8203284,356335,8599401,10375585
Rv0080,24104,179759,64865,25636,214366,50423,29066,143016,3425817,132836,87728,1982617,40663,88656,1827702,42807,1636750,2198902
Rv0081,14039,37499,22323,46356,91367,69424,9005,33805,966343,77000,146630,722860,46666,76493,724076,109975,371361,633284
Rv0082,26663,54947,49489,102118,156403,150738,20341,53847,1422096,131741,270050,1046344,76898,112088,969192,219390,618401,1006675
Rv0083,98600,158827,129435,218756,292011,313552,76495,115623,2151585,253640,427922,1478303,213565,226574,1500518,423160,870951,1590752
Rv0084,189806,285797,244221,275617,313591,319661,180985,223750,1488596,398994,536454,1066735,367301,326625,969620,454496,696024,1254423
Rv0085,62483,91217,76248,143470,174331,185540,61478,78154,818860,190281,232864,664462,131554,114719,566213,280723,389945,786631
Rv0086,254923,313556,284943,424557,483747,527943,215646,241584,2093831,582617,688166,1746622,439434,368517,1464150,756635,1162691,2019999
Rv0087,260080,280009,253036,404630,499937,416730,184318,239778,1729359,434646,517268,1502768,383054,330183,1171674,734337,1090457,1843876
Rv0088,682682,1042409,929498,913930,980813,930894,482287,611778,2036781,1239122,1030970,2081557,781488,752715,1422984,1326301,1713276,2183003
Rv0089,97375,136929,122428,86594,94945,72844,88660,88727,199070,169410,142997,208834,150804,122714,158402,140394,142469,173069
Rv0090,39103,38374,34832,31444,31377,29463,27771,26820,42251,42957,32605,41130,46379,35304,35442,22966,24810,26488
Rv0091,123270,169434,135593,72101,57205,60055,119364,144585,171943,146683,132037,97063,251189,222717,145923,79117,57658,74045
Rv0092,812519,975426,838844,876651,886217,665700,742879,805986,850152,1009139,1011639,621803,1257504,956877,682138,709098,723238,696603
Rv0093c,200026,203428,187032,210338,253922,179560,165985,177213,187981,226849,240613,145259,275617,204892,142777,178512,210471,158240
Rv0094c,276286,310313,269560,355732,399186,265854,237437,200414,247839,353653,227659,257968,459764,274933,203949,371948,318574,243707
Rv0095c,32684,46911,33161,33205,37550,31110,20311,20198,28695,25534,29360,27933,36643,30241,18809,23061,26256,24513
Rv0096,489753,665257,643691,239621,211584,352697,198857,231810,503510,90616,71480,93509,522708,461091,407129,103023,102368,171594
Rv0097,1944967,3121939,2954083,1275247,1187198,1991927,1030906,1416300,2406271,492694,344694,559161,2323727,2161716,2004102,556313,635281,1284456
Rv0098,926892,1156373,1203780,521991,455503,841123,495503,589551,1067161,234440,179532,244630,1057554,871976,883719,246860,266400,543454
Rv0099,1537778,1777703,1917455,748062,785360,1140035,794513,872930,1563089,402793,336437,392120,1682537,1209995,1329802,417250,425004,808795
Rv0100,290588,266747,285179,154337,129801,193869,155099,114782,223022,95467,83369,78446,271544,184869,174206,80820,74592,123926
Rv0101,7592528,6901435,7663950,4794386,5477711,6121837,3902184,3009052,5063508,3109946,2456735,2372168,6525627,4231144,4220418,2953586,3032046,3577301
Rv0102,1705450,1720219,1625760,1856030,2173817,1520278,1360391,1158317,1419229,2191849,1666961,1206568,2238323,1621523,1214183,1763657,1954133,1428049
Rv0103c,2460094,3209584,2835819,2312453,2650645,2368700,2466922,2886658,3518392,2577663,2447670,1868763,3626261,3015947,2307075,2239976,2608724,2312803
Rv0104,552868,507160,490194,780789,799587,650224,480451,434223,494237,569623,755793,451728,728763,506154,353467,529946,546888,333345
Rv0105c,7904,8741,6883,8618,11561,6381,6448,5573,6380,6757,5860,3853,12127,11237,4857,4225,4183,4031
