gene_id	Tr_day3	Tr_day15	Tr_day27	Tr_day39	Tr_day49	Con_day0	Con_day45
MRA_2480	0	0	5	0	5	0	3
MRA_2481	1	7	11	0	2	2	22
MRA_2482	6	0	3	0	4	0	12
MRA_2483	1	0	2	0	6	0	5
MRA_2484	0	4	7	0	0	2	3
MRA_2485	158	11	170	5	75	36	246
MRA_2486	0	3	1	0	3	0	2
MRA_2487	0	0	2	0	0	0	3
MRA_2488	0	0	2	0	1	2	5
MRA_0800	1	0	14	0	5	3	15
MRA_2489	12	8	25	2	9	2	37
MRA_0801	10	0	10	1	8	4	6
MRA_0802	10	9	25	0	7	3	21
MRA_0803	4	0	0	0	1	0	3
MRA_0804	7	0	7	0	2	4	14
MRA_0805	0	0	0	0	0	0	0
MRA_0806	0	0	0	0	0	0	0
MRA_0807	6	0	13	0	4	0	11
MRA_0390	0	0	0	0	0	1	0
MRA_0808	6	10	4	0	2	11	9
MRA_0391	1	3	6	0	2	3	4
MRA_0809	0	12	2	0	2	3	3
MRA_0392	4	16	6	1	5	6	12
MRA_0393	2	0	3	0	5	1	5
MRA_0394	3	9	5	0	2	24	12
MRA_0395	1	0	1	0	1	2	6
MRA_0396	0	5	1	0	0	3	5
MRA_0397	0	0	0	0	0	0	0
MRA_0398	2	0	2	0	2	2	11
MRA_0399	2	0	13	1	6	1	25
MRA_1200	15	1	13	1	8	6	15
MRA_1201	2	0	14	4	6	5	12
MRA_1202	0	0	0	2	0	0	0
MRA_1203	6	5	12	5	6	7	30
MRA_1204	10	3	27	3	9	6	30
MRA_1205	0	0	1	0	2	0	1
MRA_1206	0	1	1	0	0	0	1
MRA_1207	0	0	0	0	0	3	0
MRA_1208	101	4	158	0	69	10	202
MRA_1209	20	12	41	0	34	3	56
MRA_0905A	0	8	0	0	0	0	0
MRA_2900	1	7	4	0	1	0	1
MRA_2901	1	0	4	0	4	0	8
MRA_2902	11	7	27	0	12	2	49
MRA_2903	0	4	1	0	0	0	0
MRA_2904	0	0	0	0	0	0	0
MRA_2905	0	0	1	0	0	0	0
MRA_2906	1	0	4	0	2	3	3
MRA_2907	1	0	2	0	0	0	0
MRA_2490	13	5	26	0	18	4	86
MRA_2908	0	7	0	0	0	1	0
MRA_2491	0	0	4	0	0	0	3
MRA_2909	14	2	33	0	14	20	39
MRA_2492	150	4	12	2	24	45	61
MRA_2493	10	19	28	1	11	2	20
MRA_2494	4	2	5	0	0	0	11
MRA_2495	7	7	10	0	4	0	25
MRA_2496	0	0	0	0	0	0	0
MRA_2497	17	7	7	0	4	2	16
MRA_2498	1	7	3	0	0	0	0
MRA_0810	0	2	0	0	0	2	1
MRA_2499	1	0	3	1	4	2	25
MRA_0811	0	0	1	0	1	6	2
MRA_0812	4	0	5	1	4	3	10
MRA_0813	0	0	1	0	0	10	1
MRA_0814	0	0	0	0	1	0	0
