Gene Name,"Treatment, Day 3","Treatment, Day 15","Treatment, Day 27","Treatment, Day 39","Treatment, Day 49","Control, Day 0","Control, Day 45"
MRA_2480,0,0,3.72152397,0,4.943697408,0,1.592640405
MRA_2481,0.662399906,13.72195666,8.187352734,0,1.977478963,3.40196658,11.67936297
MRA_2482,3.974399433,0,2.232914382,0,3.954957927,0,6.370561622
MRA_2483,0.662399906,0,1.488609588,0,5.93243689,0,2.654400676
MRA_2484,0,7.841118094,5.210133558,0,0,3.40196658,1.592640405
MRA_2485,104.6591851,21.56307476,126.531815,32.5261195,74.15546112,61.23539845,130.5965132
MRA_2486,0,5.88083857,0.744304794,0,2.966218445,0,1.06176027
MRA_2487,0,0,1.488609588,0,0,0,1.592640405
MRA_2488,0,0,1.488609588,0,0.988739482,3.40196658,2.654400676
MRA_0800,0.662399906,0,10.42026712,0,4.943697408,5.10294987,7.963202027
MRA_2489,7.948798866,15.68223619,18.60761985,13.0104478,8.898655335,3.40196658,19.642565
MRA_0801,6.623999055,0,7.44304794,6.5052239,7.909915853,6.803933161,3.185280811
MRA_0802,6.623999055,17.64251571,18.60761985,0,6.921176371,5.10294987,11.14848284
MRA_0803,2.649599622,0,0,0,0.988739482,0,1.592640405
MRA_0804,4.636799339,0,5.210133558,0,1.977478963,6.803933161,7.432321892
MRA_0805,0,0,0,0,0,0,0
MRA_0806,0,0,0,0,0,0,0
MRA_0807,3.974399433,0,9.675962322,0,3.954957927,0,5.839681487
MRA_0390,0,0,0,0,0,1.70098329,0
MRA_0808,3.974399433,19.60279523,2.977219176,0,1.977478963,18.71081619,4.777921216
MRA_0391,0.662399906,5.88083857,4.465828764,0,1.977478963,5.10294987,2.123520541
MRA_0809,0,23.52335428,1.488609588,0,1.977478963,5.10294987,1.592640405
MRA_0392,2.649599622,31.36447237,4.465828764,6.5052239,4.943697408,10.20589974,6.370561622
MRA_0393,1.324799811,0,2.232914382,0,4.943697408,1.70098329,2.654400676
MRA_0394,1.987199717,17.64251571,3.72152397,0,1.977478963,40.82359896,6.370561622
MRA_0395,0.662399906,0,0.744304794,0,0.988739482,3.40196658,3.185280811
MRA_0396,0,9.801397617,0.744304794,0,0,5.10294987,2.654400676
MRA_0397,0,0,0,0,0,0,0
MRA_0398,1.324799811,0,1.488609588,0,1.977478963,3.40196658,5.839681487
MRA_0399,1.324799811,0,9.675962322,6.5052239,5.93243689,1.70098329,13.27200338
MRA_1200,9.935998583,1.960279523,9.675962322,6.5052239,7.909915853,10.20589974,7.963202027
MRA_1201,1.324799811,0,10.42026712,26.0208956,5.93243689,8.504916451,6.370561622
MRA_1202,0,0,0,13.0104478,0,0,0
MRA_1203,3.974399433,9.801397617,8.931657528,32.5261195,5.93243689,11.90688303,15.92640405
MRA_1204,6.623999055,5.88083857,20.09622944,19.5156717,8.898655335,10.20589974,15.92640405
MRA_1205,0,0,0.744304794,0,1.977478963,0,0.530880135
MRA_1206,0,1.960279523,0.744304794,0,0,0,0.530880135
MRA_1207,0,0,0,0,0,5.10294987,0
MRA_1208,66.90239046,7.841118094,117.6001575,0,68.22302423,17.0098329,107.2377873
MRA_1209,13.24799811,23.52335428,30.51649656,0,33.61714238,5.10294987,29.72928757
MRA_0905A,0,15.68223619,0,0,0,0,0
MRA_2900,0.662399906,13.72195666,2.977219176,0,0.988739482,0,0.530880135
MRA_2901,0.662399906,0,2.977219176,0,3.954957927,0,4.247041081
MRA_2902,7.286398961,13.72195666,20.09622944,0,11.86487378,3.40196658,26.01312662
MRA_2903,0,7.841118094,0.744304794,0,0,0,0
MRA_2904,0,0,0,0,0,0,0
MRA_2905,0,0,0.744304794,0,0,0,0
MRA_2906,0.662399906,0,2.977219176,0,1.977478963,5.10294987,1.592640405
MRA_2907,0.662399906,0,1.488609588,0,0,0,0
MRA_2490,8.611198772,9.801397617,19.35192464,0,17.79731067,6.803933161,45.65569162
MRA_2908,0,13.72195666,0,0,0,1.70098329,0
MRA_2491,0,0,2.977219176,0,0,0,1.592640405
MRA_2909,9.273598677,3.920559047,24.5620582,0,13.84235274,34.0196658,20.70432527
MRA_2492,99.35998583,7.841118094,8.931657528,13.0104478,23.72974756,76.54424806,32.38368824
MRA_2493,6.623999055,37.24531094,20.84053423,6.5052239,10.8761343,3.40196658,10.6176027
MRA_2494,2.649599622,3.920559047,3.72152397,0,0,0,5.839681487
MRA_2495,4.636799339,13.72195666,7.44304794,0,3.954957927,0,13.27200338
MRA_2496,0,0,0,0,0,0,0
MRA_2497,11.26079839,13.72195666,5.210133558,0,3.954957927,3.40196658,8.494082162
MRA_2498,0.662399906,13.72195666,2.232914382,0,0,0,0
MRA_0810,0,3.920559047,0,0,0,3.40196658,0.530880135
MRA_2499,0.662399906,0,2.232914382,6.5052239,3.954957927,3.40196658,13.27200338
MRA_0811,0,0,0.744304794,0,0.988739482,10.20589974,1.06176027
MRA_0812,2.649599622,0,3.72152397,6.5052239,3.954957927,5.10294987,5.308801351
MRA_0813,0,0,0.744304794,0,0,17.0098329,0.530880135
MRA_0814,0,0,0,0,0.988739482,0,0
MRA_0815,1.324799811,15.68223619,4.465828764,0,3.954957927,17.0098329,6.901441757
MRA_0816,39.74399433,19.60279523,193.5192464,19.5156717,111.7275614,64.63736503,191.6477288
MRA_0817,0,0,0,0,0,0,0
MRA_0818,0,0,2.977219176,6.5052239,0.988739482,8.504916451,2.654400676
MRA_3300,9.935998583,0,52.84564038,0,22.74100808,59.53441516,39.28513
MRA_0819,31.79519547,11.76167714,44.65828764,0,24.71848704,68.03933161,41.40865054
MRA_3301,0.662399906,0,5.210133558,0,3.954957927,3.40196658,7.432321892
MRA_3302,0,0,0.744304794,0,0,10.20589974,1.592640405
MRA_3303,0.662399906,0,0.744304794,0,0.988739482,1.70098329,1.06176027
MRA_3304,5.96159915,5.88083857,15.63040067,0,12.85361326,0,19.11168487
MRA_3305,1.987199717,17.64251571,7.44304794,0,3.954957927,1.70098329,4.777921216
MRA_3306,3.974399433,0,11.9088767,0,7.909915853,11.90688303,5.839681487
MRA_3307,0,3.920559047,0,0,0,1.70098329,0
MRA_3308,1.324799811,7.841118094,0.744304794,6.5052239,0.988739482,1.70098329,1.06176027
MRA_3309,1.324799811,0,2.977219176,0,0.988739482,0,1.592640405
MRA_1210,1.324799811,0,14.88609588,0,0.988739482,15.30884961,8.494082162
MRA_1211,0,0,1.488609588,0,1.977478963,0,1.06176027
MRA_1212,0,5.88083857,1.488609588,0,0.988739482,0,3.185280811
MRA_1213,0,0,0,0,0.988739482,0,1.06176027
MRA_1214,3.311999528,9.801397617,4.465828764,0,4.943697408,1.70098329,1.592640405
MRA_1215,3.974399433,0,0.744304794,0,0,3.40196658,1.592640405
MRA_1216,0,0,0,0,1.977478963,5.10294987,1.592640405
MRA_1217,0,15.68223619,0.744304794,0,0,1.70098329,0
MRA_1218,0,0,0,0,0,0,0
MRA_1219,0,0,2.232914382,0,0,8.504916451,2.123520541
MRA_2910,1.324799811,0,1.488609588,13.0104478,1.977478963,28.91671593,4.247041081
MRA_2911,0.662399906,3.920559047,1.488609588,0,0,5.10294987,0
MRA_2912,0.662399906,0,4.465828764,13.0104478,0,1.70098329,3.716160946
MRA_2913,5.299199244,13.72195666,11.16457191,26.0208956,1.977478963,1.70098329,8.494082162
MRA_2914,0,0,2.232914382,0,0,0,0.530880135
MRA_2915,1.324799811,0,5.954438352,0,0,3.40196658,10.6176027
MRA_2916,1.987199717,0,5.954438352,0,2.966218445,3.40196658,3.185280811
MRA_2917,3.311999528,0,0.744304794,0,0,0,1.06176027
MRA_2918,1.987199717,15.68223619,8.187352734,0,2.966218445,5.10294987,5.839681487
MRA_2919,0.662399906,0,0.744304794,0,0,13.60786632,0.530880135
MRA_0820,5.96159915,0,2.977219176,0,3.954957927,6.803933161,6.901441757
MRA_0821,0,0,0.744304794,0,0,5.10294987,1.592640405
MRA_0822,9.273598677,0,73.68617461,0,19.77478963,15.30884961,46.18657176
MRA_0823,4.636799339,0,3.72152397,6.5052239,2.966218445,0,8.494082162
MRA_0824,0,0,0,0,0,0,2.123520541
MRA_0825,0,13.72195666,0,0,2.966218445,0,0
MRA_0826,1.987199717,0,12.6531815,0,4.943697408,0,8.494082162
MRA_0827,0.662399906,0,3.72152397,6.5052239,1.977478963,10.20589974,5.839681487
MRA_0828,0,0,0.744304794,0,0,8.504916451,0
MRA_3310,0,0,0,0,0,8.504916451,0
MRA_0829,10.59839849,0,19.35192464,19.5156717,15.81983171,13.60786632,12.21024311
MRA_3311,4.636799339,21.56307476,14.88609588,26.0208956,12.85361326,5.10294987,18.58080473
MRA_3312,18.54719735,7.841118094,35.72663011,0,15.81983171,13.60786632,23.88960608
MRA_3313,0,0,2.232914382,0,0.988739482,1.70098329,0.530880135
MRA_3314,21.85919688,39.20559047,43.91398285,26.0208956,29.66218445,35.72064909,51.49537311
MRA_3315,10.59839849,0,14.14179109,6.5052239,5.93243689,8.504916451,19.11168487
MRA_3316,0,0,0,0,0,0,0
MRA_3317,0,3.920559047,0,6.5052239,0,0,1.06176027
MRA_3318,20.53439707,33.3247519,56.56716435,0,95.90772972,59.53441516,46.71745189
MRA_3319,66.23999055,45.08642904,153.3267876,58.5470151,170.0631908,3.40196658,184.2154069
MRA_1220,0,0,0,6.5052239,1.977478963,0,1.06176027
MRA_1221,86.11198772,0,92.29379446,6.5052239,77.12167957,37.42163238,114.6701092
MRA_1222,7.286398961,11.76167714,12.6531815,0,8.898655335,0,15.92640405
MRA_1223,0,0,1.488609588,0,0,0,1.06176027
