Gene Name,Dextrose_Exp,Dextrose_sta,Fatty_acids_exp,Fatty_acids_sta
Rv0239,57.22964699,31.8596277,32.31936092,6.427908632
Rv0238,13.74773682,9.520917652,3.066128296,1.016356346
Rv1322,2.893055859,0.940451004,1.060024084,0.843301076
Rv1323,33.27845068,24.92423099,19.95154541,7.366801189
Rv1324,38.27985883,9.44155187,30.78167676,13.79175546
Rv1321,10.25454589,5.185388671,8.920830137,4.772091972
Rv0231,4.517644085,1.142212473,2.574876791,0.365792964
Rv0233,26.82556274,86.69683065,7.755543441,0.793274741
Rv0232,26.45559519,40.53721462,4.857546263,0.905722491
Rv2929,22.81487505,3.282002645,5.380786777,1.605254782
Rv0237,7.134455812,1.193711394,4.30555237,0.321119792
Rv2375,2.3154877,1.170866444,2.309537227,0.787435705
Rv2928,47.21972591,2.245900826,3.464095691,0.953950771
Rv3170,1.545092028,1.86133839,1.398664765,0.927255269
Rv1254,3.294859199,1.128650147,2.180831478,1.40965358
Rv1328,11.04838843,1.575766611,4.076994728,1.73412124
Rv1524,1.671779638,0.372954846,2.185944628,0.401313695
Rv1525,4.675220388,3.427953892,4.130267939,0.635967181
Rv0309,45.12965534,16.69109383,16.90005877,7.229764104
Rv0308,52.11194792,8.294182408,11.53985251,2.614704454
Rv1520,22.3463625,7.696564535,4.678726993,3.373204305
Rv1253,7.885575251,1.701079915,2.041063524,2.361841453
Rv0306,0.546952013,1.521166651,0.46761122,0.186003814
Rv0301,4.893397339,20.74155468,3.445286122,7.048012759
Rv0300,57.56938046,47.44525666,24.135933,7.906424569
Rv0303,8.353266383,26.67235049,2.303723414,2.474178488
Rv0302,4.645630385,94.4062018,3.144290849,0.987409488
Rv0125,13.87303369,12.6098585,4.607015014,1.871543532
Rv0124,0.33447692,0.443976869,0.142978869,0.25593006
Rv0127,9.30712003,6.312785961,4.896634053,1.278214945
Rv0126,10.70854265,6.528796699,2.433650862,1.244628292
Rv2813,0.150658785,0.114274835,0,0
Rv2812,0.086823941,0.52684835,0.074229271,0.177159062
Rv0123,9.640524649,8.825246737,2.842093559,1.356614775
Rv0122,5.318910151,9.077396643,1.705256136,5.426459099
Rv0128,5.810516738,7.02782898,2.013909685,1.922596548
Rv3780,36.51789059,19.3891988,11.12234226,6.985553691
Rv3781,6.556317994,5.085995683,2.930021911,1.064141187
Rv3782,21.5491513,10.86286075,9.726552137,3.413800855
Rv3783,7.845708323,1.212236131,3.229590401,1.037600849
Rv3784,1.123484083,7.38541931,0.32017054,0.636778364
Rv3785,6.612699107,3.199695369,2.339363496,1.628443457
Rv3788,6.558161382,5.16569376,1.72518009,0.772011707
Rv3789,2.68131361,4.067557948,0.573090646,0.341941258
Rv3259,1.75181289,1.107293147,1.248079272,0
Rv3254,3.966190206,7.420619158,1.507046729,0.539518268
Rv3331,5.110809555,3.015097559,3.537162594,0.579350076
Rv3330,6.031303212,0.991195689,2.148501294,0
Rv3332,6.164575275,0.161235735,3.271247217,0.216869782
Rv3334,9.45315395,121.0502934,2.377023704,1.985590716
Rv3337,47.22255204,24.51994534,18.69596882,4.52673531
Rv3338,7.408481996,8.933310982,2.273674847,0.969010553
Rv1898,16.68203638,12.95461079,3.735322964,4.86267114
Rv1895,3.922350553,46.31517455,1.178212789,2.054906955
Rv1892,13.76759701,6.56400529,1.008897521,2.006568477
Rv1893,19.64092969,5.959065686,0.959532504,2.290065308
Rv1891,37.57215402,17.09910916,5.910437318,3.066549368
Rvnt08,13.59277039,68.30460808,13.07363037,159.4776035
Rvnt01,299.9719602,336.8446426,107.4544962,1331.861201
Rvnt02,56.07017784,130.1653852,31.95776313,351.8907991
Rvnt03,450.5506086,86.0015682,170.9138019,2106.524952
Rvnt05,4.587560005,4.639558284,0,53.04363769
Rvnt06,84.95481491,51.5506476,111.852171,1249.819045
Rvnt07,147.4722486,125.840074,90.26177682,459.9109924
Rv1250,3.939480319,3.841842398,0.781861736,1.076554565
Rv1523,3.284159288,1.334484646,0.30083138,0.239326096
Rv1521,19.42267933,1.801770208,4.53955869,1.140455139
Rv2318,0.740302169,0.701899892,0.553799774,0.283226685
Rv2408,1.020875662,0.129055863,0,0.173586313
Rv2316,1.543215904,0.957706985,0,0.143129082
Rv2317,0.5938589,0.900885104,0.507713801,0
Rv2310,0,0,0,0
Rv2311,2.334636135,0,0,0
Rv2312,0.909553409,4.484331427,0.388806851,0
Rv1259,8.164734158,11.35375776,1.861429019,2.360117361
Rv1629,3.876493839,0.581226904,1.541474473,0.183947766
Rv3004,6.514878114,2.196240608,2.166045269,1.107768278
Rv1529,6.277163063,7.565072231,1.371464076,0.925034932
Rv3169,1.414905814,5.283482744,2.51237025,0.888317148
Rv2811,0.201208772,0.457851146,0.516064357,0.205277236
Rv2260,7.320830665,0.43838346,4.447093166,0.982744561
Rv2263,8.600672133,2.044716138,1.975448871,0.261927721
Rv2265,1.393563115,0.830514909,0.17020186,0.406211747
Rv2266,2.948975846,11.03969545,2.43986881,1.552828109
Rv1799,48.03727754,5.829811457,9.856559024,4.57413568
Rv1798,23.23829522,10.28199052,10.21912592,3.678854913
Rv2443,5.556908843,2.516370595,1.559972166,0.846159724
Rv2601A,12.78762371,27.48170412,3.279795773,3.913857259
Rv1791,68.32753809,40.34398508,22.38695234,36.7329539
Rv1790,3.604926747,1.499477012,2.08780409,4.389654651
Rv1793,191.2560228,127.7512175,90.59473441,109.8666895
Rv1795,32.30419488,22.10775622,23.25739142,9.168597008
Rv1794,18.17392582,20.16304709,10.31976145,8.302121459
Rv1797,62.27048663,15.05954984,40.46395761,14.21999159
Rv1796,18.72970808,14.99868586,10.71487065,4.262102195
Rv2046,2.424320328,1.273049529,2.391517751,0.951284751
Rv1062,1.855722445,1.407567274,1.342449793,1.019439807
Rv1061,2.409842258,6.021211215,0.60596201,0.723108686
Rv1060,10.0868127,7.650857213,5.306843618,0.791597628
Rv1066,18.89223023,9.631488084,40.24692287,41.39220573
Rv1065,42.57947331,29.50955799,41.76170267,72.10671181
Rv1669,0,6.151900488,0.577840016,0.689550051
Rv1665,3.113141568,16.2668773,0.492879562,2.940823734
Rv1664,4.447814483,6.71694976,2.192498772,1.798747661
Rv1661,4.256795491,2.239786758,2.819641911,0.821623744
Rv1660,4.381458503,4.11044749,1.28148686,1.646861291
Rv1663,2.839338642,15.81387903,1.525834845,10.42830137
Rv1662,5.470468115,4.168654698,3.654525628,3.789943772
Rv1084,2.421275279,0.550961894,1.138524961,0.864581806
Rv1087,4.993262591,1.1684515,1.771156177,1.950980518
Rv1086,23.28710663,10.3624652,5.839997324,5.226754386
Rv1083,11.03773836,3.837228656,2.752343236,1.87682044
Rv1082,14.97402188,8.786230469,5.072447812,4.467742884
Rv1089,0,0.512658374,0,0
Rv1088,1.127510908,0.213804529,0,0.287577326
Rv0919,1.468019202,18.18706847,0.209178086,1.248085593
Rv0938,19.0024425,2.402228511,6.562629726,1.971526167
Rv0939,25.36520596,4.078205317,10.65358918,7.227796607
Rv0936,15.27496959,2.973418569,14.67713642,0.689550051
Rv0934,17.52306431,1.898751611,5.303892749,0.555198217
Rv0935,55.62868038,5.662453024,29.33846186,2.211175263
Rv0933,9.433055111,2.794914629,5.166446701,1.202974065
Rv0930,4.359668256,2.204541733,1.242418437,0.808694768
Rv1409,15.48695429,3.278196236,7.184723267,2.204665424
Rv1408,11.0416917,3.456404453,8.391098004,1.966897066
Rv1401,8.534995359,1.54138149,4.343398795,2.073231882
Rv2684,3.51155356,2.879477601,1.460514177,0.4841294
Rv1402,1.865809865,0.896305108,2.233218,0.507609799
Rv1404,26.14211234,13.47589543,4.773773746,1.812572438
Rv1407,3.653118917,3.71705325,1.980564543,0.545412495
Rv1406,2.477999719,0.890320353,0.446008712,0.133058166
Rv1339,7.003339675,5.085995683,4.968298022,1.064141187
Rv1338,8.255731707,1.252396101,3.46491308,1.225114692
Rv1337,60.82858881,26.34652211,9.705631412,9.50757723
Rv1336,8.189259192,15.67224632,2.908243214,2.056577702
Rv1335,10.01317961,16.84110125,2.977623999,0.444158574
Rv1334,17.79417214,93.63472174,3.803237927,2.836558165
Rv1333,19.87646888,3.58960022,6.979346195,2.293387453
Rv1332,30.39724719,33.24073771,7.652856803,9.132333605
Rv1331,511.4001317,121.9975654,90.52953228,34.37350485
Rv0688,8.423060993,8.594591576,2.486132989,2.659854542
Rv0681,8.915935829,5.03274119,3.368121723,1.692319448
Rv0682,21.58851767,61.77807555,67.39561326,10.67880721
Rv0683,22.64497705,44.0264467,25.36840617,8.232053909
Rv0684,74.50517089,30.63651314,50.87847031,14.11137155
Rv0685,98.58756404,23.31475508,57.56791862,23.28361358
Rv0686,19.80076088,4.540596564,1.968426154,1.722577355
Rv0687,15.97602517,17.95234161,2.023488135,7.394944866
Rv1535,85.53077976,63.69563068,48.30595629,81.44287342
Rv1242,2.838397528,7.965830929,1.213329965,0.868737071
Rv1241,24.93750567,11.77734026,4.022655499,2.880197522
Rv1240,26.71824634,2.720873412,7.614166931,2.271541018
Rv1531,16.85887776,3.770665743,5.17401626,1.984588398
Rv1530,1.330933093,1.850775744,2.939492595,1.470998432
Rv1533,25.4005097,218.9278701,18.65341405,7.973572553
Rv1244,6.97024621,2.373727494,2.553918491,0.87075739
Rv0331,3.042635567,32.07104612,0.538194046,0.214079862
Rv0332,4.675220388,19.50387559,0.799406698,0.317983591
Rv0333,17.00913514,17.11922576,5.313347103,4.671978155
Rv1539,81.48955273,32.5074314,25.11513203,6.363594305
Rv0336,10.60613917,7.185020771,7.821682235,0.82599973
Rv0110,3.266620387,2.849394941,1.815297141,0.333267181
Rv0111,5.768832546,1.443518377,2.542271341,0.121350082
Rv0112,2.687273643,3.008918553,1.203430411,0.391658659
Rv0113,7.464504415,2.516370595,1.418156515,0.634619793
Rv0114,3.421956181,2.7577794,8.228158976,0.654590346
Rv0115,3.480217935,0.959908611,4.327822468,0.860748685
Rv0117,1.555105087,2.16250598,0.443173911,1.189912112
Rv0119,2.482382924,0.176520924,1.658038094,0.237429092
Rv3798,5.594026193,6.260273547,1.6464542,2.245431351
Rv3797,1.44246693,1.510917353,0.469799182,0.420466791
Rv3796,1.736786988,1.235019951,0.278409165,0.442976253
Rv3795,8.239792243,0.56305319,1.967390978,0.378666745
Rv3794,13.55965767,0.452088505,6.242220592,0.456060509
Rv3793,4.581972234,0.423832974,2.356756754,0.266035297
Rv3792,5.385017786,1.201335651,2.220689157,1.551219794
Rv3791,12.97006494,0.364363216,6.707936003,0.980171931
Rv3790,1.766569436,0.669972315,0.755155545,0.090114483
Rv0757,72.77529017,44.58471891,12.95046023,9.910773886
Rv0754,1.394925125,27.40354836,0.596288729,1.209661065
Rv0200,9.055270838,2.424152369,3.643159697,0.362288996
Rv0750,13.98113525,13.25588081,1.707576212,9.169608436
Rv0203,8.354580823,0,4.081523628,0.30441112
Rv0209,5.186550175,1.453870799,1.638722332,1.610433023
Rv0758,13.26624536,21.39864905,3.589191592,4.625711874
Rv3611,1.311400512,0.99469856,0.320333975,0.573393075
Rv0509,57.16504359,22.10884815,85.6945786,11.09606679
Rv0979A,28.9926721,10.19093727,22.36875486,6.492930829
Rv0501,29.55525384,19.87209035,18.41877837,8.062853829
Rv0500,6.620154235,1.778410165,4.834442798,0.703543175
Rv2737A,0,0,0,0
Rv3308,3.43208978,0.404948977,3.521077507,0.31124329
Rv1135A,1.011032508,0.383434569,0,0.515737848
Rv3307,7.740796039,2.763012378,22.44901295,0.464547987
Rv2401,0.371838704,0,0,0
Rv3680,37.33324694,36.55651959,13.79493412,7.208770234
Rv2019,2.058520515,13.3833412,1.005663875,1.500102876
Rv2018,7.146129633,9.550133882,3.636614846,4.166071519
Rvnt17,10.05492604,7.626671152,11.46181293,287.230657
Rvnt15,32.28282967,9.021363331,15.97888157,235.7495008
Rvnt13,11.73074705,3.813335576,7.163633081,326.5539017
Rvnt12,335.1642013,230.0712464,342.4216613,1461.798879
Rvnt11,62.00537724,74.99559967,37.25089202,242.7782934
Rv1887,31.28003553,6.581510001,19.96533395,10.38249836
Rvnt19,51.58702014,76.02167791,18.90163427,96.23792522
Rv0315,7.888112226,4.513597426,4.614222484,0.988303071
Rv1698,16.19901132,1.671027348,3.877771721,0.264424914
Rv3013,2.610806507,0.141449948,4.942470019,0.57077085
Rv3016,6.807190257,6.638477672,2.993009179,2.182661609
Rv2012,0,32.12001889,0,0.757946716
Rv0488,0.404413003,2.607355069,0.172874451,0.618885418
Rv2308,2.221164993,2.073545602,0.146074082,0.17431363
Rv3661,4.67792909,3.225648865,4.72650368,1.446217373
Rv2302,53.58472293,18.40485931,16.85525899,8.251805572
Rv2301,7.601737196,8.447750633,3.325085181,0.541077569
Rv2305,2.847205589,2.375569021,0.649117412,0.38730352
Rv3878,10.60623533,21.71004708,1.987440247,1.926973005
Rv3872,76.51047679,170.6860907,19.93837943,23.79293605
Rv3873,40.4833505,119.1351314,15.22498727,7.447888709
Rv3870,47.17776079,26.93136374,9.41907565,7.233665941
Rv3871,31.63477998,17.93091258,12.78637878,8.437761754
Rv3876,12.72283308,19.02218897,3.294554854,1.560106991
Rv3877,27.57517067,10.94149902,7.971933569,1.544861646
Rv3874,688.2352714,589.0088233,176.2775592,54.96535888
Rv1178,50.03588731,19.01877753,17.68785286,3.900267477
Rv2276,3.084073953,0.389878847,1.054679425,0.104881142
Rv2275,10.4174742,1.494909459,2.286756981,0.861739189
Rv2273,0.371838704,0,0.635799653,0
Rv2272,10.6378203,5.547297949,5.399977763,2.374075856
Rv2271,13.09270191,0,2.098776782,0.417419931
Rv2270,0.232134599,2.817189091,0,0.236828386
Rv3552,2.277512059,0.123392508,0.417243523,0.165968829
Rv2279,1.043368303,1.780640706,0.223004356,1.19752349
Rv2278,9.381513303,11.3854191,2.566602282,4.594180096
Rv2459,5.371193016,4.621316247,3.289825729,0.817880467
Rv2458,2.020951544,0.408771655,0.806303195,0.412363081
Rv2451,1.229496819,0.466287265,0,0.940768035
Rv3909,8.026959921,3.391039278,2.084831422,0.51830797
Rv2050,35.05717497,117.1661585,11.23941954,16.39276599
Rv2054,14.75568623,1.041135099,3.373840096,0.350094135
Rv2059,1.195455376,9.369791975,0.340680922,2.114021199
Rv1658,13.60413558,2.017199254,4.984594858,0.626129896
Rv1659,4.591891979,1.380038583,2.222146806,0
Rv1650,5.981908571,0.818198655,6.120240591,0.900422472
Rv1652,4.740767743,4.297511454,0.691987997,11.91461672
Rv1653,2.620023287,0.764342386,1.550743636,1.130884804
Rv1654,4.01325008,3.463923606,2.602894735,1.41186153
Rv1655,1.628418416,1.235156948,0.783112635,0.103834076
Rv1656,2.253189457,2.01064281,0.566571197,1.081764327
Rv1657,4.539772922,0.181232745,1.634203797,1.218833587
Rv1434,1.785911438,0.677307779,0.763423671,0
Rv1436,20.40916456,3.733501269,22.99111445,1.224814124
Rv1437,36.36450365,3.897528769,12.92578641,2.016293365
Rv0929,10.17364436,0.666876961,1.503333267,0.384420614
Rv1431,2.005490713,0.891718381,0.53210932,0.352765854
Rv1432,0.688725875,0.587699149,0.736024229,0.263494495
Rv1433,15.01042129,1.707812865,3.079922738,0.306278673
Rv0433,6.170877175,2.217134047,5.460843837,0.773150367
Rv0432,8.9802652,4.369667082,8.69161022,1.555785365
Rv0431,12.13443672,4.695909195,8.68046713,3.031786865
Rv0430,84.2045646,8.134290499,10.52681926,0.81044519
Rv1438,40.67441737,3.191543278,16.92077511,1.271934362
Rv0922,12.66299856,8.762361893,5.951192518,3.550848841
Rv2698,5.296976501,3.061151858,0,1.801360649
Rv2695,2.941575487,1.837448825,0.295867165,1.588793541
Rv2691,9.672161651,5.570187106,3.215768525,2.37556555
Rv2692,15.15326971,6.167388656,8.057464036,7.164237541
Rv1348,1.280745717,1.942893737,0.527203396,0.871095024
Rv1349,1.266261531,0.693665988,0.541288894,0.717703044
Rv1340,13.1914434,3.454356617,10.20380907,3.684976718
Rv1341,8.368187632,1.813508124,3.577149678,0.609813808
Rv1346,2.952912187,6.559375505,2.704889043,1.398716613
Rv3491,14.39234511,13.00360626,9.40939487,3.670839979
Rv1344,13.76268002,4.929530677,6.209974427,4.290294225
Rv1345,4.064802901,2.490242146,3.274672911,1.196248172
Rv0697,3.060498683,0.838280163,13.01003384,0.780595576
Rv0696,6.064762991,0.788593476,23.03625522,1.414261295
Rv0695,6.643354003,2.949652949,5.818198417,1.6530935
Rv0694,23.23335711,3.04105501,25.40019615,2.622028556
Rv0693,15.30488104,8.528890123,115.4485011,2.124401009
Rv0692,41.6459348,39.2035624,125.5704315,12.89814898
Rv1288,0.625069003,4.199308228,0.53439657,1.730921625
Rv3652,2.337610194,1.477566333,0.999258372,0.794958976
Rv3653,0.416814083,0.632307773,1.425404334,0
Rv0699,0,0,0,0
Rv0698,2.202429244,2.278015524,1.540591468,1.429885294
Rv0326,0.537735971,2.651176162,0.229866029,0.548609052
Rv0325,3.276828575,23.6120377,1.867661482,1.114362136
Rv0324,7.196172557,17.46657236,2.460918658,0.917709995
Rv0322,0.551472277,0.627438386,0.235737888,0
Rv0321,2.138722613,0.324444635,0.731391909,0.872787128
Rv0320,0.554387916,0.981175468,0.157989491,0
Rv0328,2.032141752,11.25208488,1.389887614,0.414646376
Rv1500,6.069145532,3.610551194,1.322624084,0.728454626
Rv1501,7.003339675,5.425062062,2.420452883,1.064141187
Rv1502,17.82633625,3.715775267,4.420893919,1.804795629
Rv1509,8.609268871,2.317146022,1.424595364,0.566667692
Rv2871,6.6641598,1.444220478,0,0.971272835
Rv2873,4.065511384,4.625541492,0.631957964,0.942662834
Rv2872,2.209208731,0.418921741,0.236092648,1.126939587
Rv2875,5.263981647,4.152444592,0.900077823,5.155603137
Rv2874,1.05511682,2.756613451,0.350801773,0.478422843
Rv0109,3.448367252,0.311379751,0.701939886,0.083764134
Rv2876,11.68805097,3.841672465,3.99703349,5.564712834
Rv0106,1.329727538,1.241353387,1.049388391,3.652424393
Rv0104,1.535246853,1.103197478,1.174381592,0.494617804
Rv0102,15.0992739,2.85151693,4.847451866,1.697647909
Rv0101,3.002382952,0.763206722,3.205103334,0.695404549
Rv0100,2.073473449,2.752280338,3.988565198,4.230798619
Rv0576,5.816538248,6.475457115,1.523920105,1.43568128
Rv0634A,218.3507976,12.19963533,50.83610854,6.961433585
Rv1570,8.275598441,1.364575966,2.768533491,1.468335991
Rv0745,0.464269197,0.176074318,0,0
Rv0211,29.17217644,23.75861715,29.65271768,44.30018093
Rv0210,4.138529549,2.699607662,3.608958858,1.097774879
Rv0741,6.623228882,8.865397996,3.99703349,1.589917953
Rv0216,1.086884898,0.732802888,1.23896201,0.24641374
Rv0742,1.392807592,1.056445909,0.595383546,1.420970314
Rv0219,1.116194648,1.185288613,0.763423671,0
Rv0218,1.381795182,1.187838717,1.102595333,1.59769993
Rv0749,2.858292838,4.769639358,0.244366923,4.082522967
Rv0748,4.760114143,4.693716552,2.034806284,0.971272835
Rv3277,12.71206521,2.495605923,1.79003252,0.915466205
Rv3270,35.9741873,5.939323221,14.55320635,0.984112017
Rv3272,9.815725237,3.683433097,5.741797123,0.948713711
Rv3273,23.14444687,2.750566376,14.22483932,1.904228236
Rv2905,18.01330059,4.030124781,8.30951083,1.586549482
Rv3594,3.254375498,1.346425621,0.758808051,0.603668969
Rv3186,7.880471175,8.254428849,1.604126426,1.531393365
Rv3474,10.13203437,9.108335282,2.566602282,3.828483413
Rv3475,0.94103795,1.51677867,0,0.36002469
Rv3472,15.23142452,9.535851019,3.720558841,2.466572318
Rv2306A,1.650386961,1.095342597,0.881863769,0.631409237
Rv3478,177.8569693,4.007069814,167.5550121,29.80187444
Rv3479,4.190919418,2.421955385,5.016179223,1.180896646
Rv3319,10.51678316,1.407704157,5.685624334,0.946714735
Rv3318,3.313813096,0.471286959,1.416555887,0.281734897
Rv3311,13.08654201,1.911703889,4.226657046,0.692282024
Rv3310,4.218445982,0.516079898,0.698035882,0.277660866
Rv3317,5.355676811,2.138045292,1.44593147,0.287577326
Rv3316,12.30588088,2.470770684,1.547175192,1.47702437
Rv3188,34.90247382,36.10030942,4.822549532,30.21302299
Rv3006,8.621284339,7.201455321,6.064485097,2.004062504
Rv2614A,0.538920412,0,0,0
Rv3000,1.856372283,0.704030089,1.110961003,0.757563334
Rv3008,25.13462518,14.8942481,2.182435889,0.200334766
Rv1540,16.64600607,6.6136252,2.484836874,1.213042153
Rv3698,1.52018557,1.456499658,0.820842718,0.653020585
Rv3699,20.41824139,12.31038289,4.47599328,3.916959064
Rv0205,7.874687468,1.682523403,2.275736203,0.226307451
Rv3690,2.435458094,2.415696503,1.922003853,0.38226205
Rv3869,42.67300384,26.51176162,10.73452036,5.020039139
Rv3868,18.69499564,40.22208577,12.94448934,9.137640016
Rv3861,1.501042129,0.569270955,0.320825285,0
Rv3860,1.043813426,2.137680438,2.766433731,1.064919448
Rv3863,9.450321686,35.52531046,1.154208454,3.708233934
Rv3865,146.7232482,104.4273569,14.79716364,7.624960213
Rv3864,42.53366892,48.46955757,11.16886303,2.686276938
Rv3867,15.09759615,30.48130851,12.71772392,9.740050905
Rv3866,26.3070421,43.39704341,11.79852894,4.399831702
Rv2193,92.30180742,8.352723589,20.37004274,1.225615967
Rv2191,1.263138188,0.143713731,0.485958382,0.193301847
Rv2196,97.1854232,3.376270431,39.32395794,1.513748445
Rv2194,81.65348291,4.297928102,23.72506794,1.63051562
Rv2195,80.38610446,6.262863782,33.91638477,1.742865839
Rv0634B,13.91834572,105.5707873,8.767943723,7.473566423
