Gene Name,Dextrose_exp_1,Dextrose_exp_2,Dextrose_sta_1,Dextrose_sta_2,Dextrose_nrp1_1,Dextrose_nrp1_2,Lipid_exp_1,Lipid_exp_2,Lipid_sta_1,Lipid_sta_2,Lipid_nrp1_1,Lipid_nrp1_2
dnaA,90.17851044,70.8838861,10.84312743,11.06312293,75.45794816,36.19625137,12.53692574,9.845196691,1.658530627,4.054309775,14.86222863,24.13557428
dnaN,55.75893469,52.903906,8.48664497,8.408664812,29.92692951,13.15786848,17.25233469,15.52828767,1.159975763,2.292046215,7.753280932,11.89755719
recF,34.66922773,30.83471408,5.263609383,5.69448299,12.44594317,4.784155258,5.869581624,6.617651758,1.154734277,1.487535105,2.692873893,7.639878028
Rv0004,40.07757766,40.38714109,7.084718681,6.731679279,15.58164915,6.875950801,15.61294979,13.67525,2.891329987,3.917336318,4.601970183,13.80379664
gyrB,608.4083452,572.4128619,202.6243043,216.6367495,284.5654324,156.9798416,190.9355961,164.6738537,107.8214591,123.9003465,118.7026598,256.5408285
IGR3_Rodriguez_Rv0005-Rv0006,142.957457,136.970537,77.38013303,72.35383989,68.06329254,24.03741478,65.63209443,52.26474064,48.04530208,56.24798907,19.67582352,49.63254004
gyrA,407.5192044,371.0289428,115.6062471,122.081945,108.4153796,38.94292604,184.0744879,167.8762996,95.09560205,98.06611988,39.55624238,88.83161451
IGR4_Rodriguez_Rv0006-Rv0007,72.10701218,66.52675588,33.14207383,35.6070404,25.37582861,7.156601854,41.7449692,48.28110771,17.17450012,21.71133858,4.966154873,16.83029751
Rv0007,167.0255358,157.8295908,52.07061535,57.19023298,47.418425,17.90461702,97.36039147,89.93096985,41.61429632,41.80567387,15.24430439,32.578267
ileT,4.973505549,10.94649743,2.288010385,2.3627907,5.089604316,2.673770168,3.787670951,3.351369166,1.983296083,2.024166453,2.271009202,3.375635774
alaT,2.100681567,1.331573934,3.24709419,0.342165385,2.063729969,0.542079431,0,0.679455667,0,0,0.255790991,0.285156447
IGR6_Rodriguez_Rv0007-Rv0008c,10.89005502,11.73972188,4.907616477,3.258009537,14.19188218,3.727778118,5.246930653,3.234799804,1.536176193,3.663301244,1.759026451,4.525308827
Rv0008c,22.26722461,18.86396407,19.7918122,20.98614362,42.7077452,33.4282316,12.58521413,10.53156283,3.201850906,3.847302676,13.13060419,15.49350027
IGR7_Rodriguez_Rv0008c-Rv0009,0.902057379,1.270652251,0.995957462,1.714181488,1.476983213,1.551835235,0.457986357,0,0.159873541,0,0.549198304,0.612247665
IGR8_Rodriguez_Rv0008c-Rv0009,2.385440624,2.160108827,3.386255369,2.775341457,4.463771489,0.43968665,2.076204817,0.826671061,0.181190013,0,1.244849488,1.619054936
ppiA,330.1628592,313.1567605,11.10247662,11.69283204,139.995948,116.913401,74.32643065,68.25682914,4.306975708,7.775896265,29.28457403,22.14351481
IGR9_Rodriguez_Rv0009-Rv0010c,11.98595782,7.448651126,4.281472306,3.158147175,5.194906475,4.548482585,1.610848565,1.140235946,1.312065608,0.6456393,1.717033777,6.220999261
Rv0010c,74.15504556,76.36441063,13.35424653,12.25450066,38.84188483,20.80770625,10.69172375,7.509899076,5.206022895,4.966572735,10.56368756,22.9176086
IGR10_Rodriguez_Rv0010c-Rv0011c,130.1689776,114.033652,25.46254037,27.68887175,91.38404277,46.3204773,25.16794793,19.2249084,15.29580803,18.72353969,17.08049298,28.96548448
Rv0011c,168.1409364,162.9273572,132.6883753,117.1843643,134.8925626,75.35480776,68.33253887,51.97474437,44.6999616,56.43620119,35.1603765,31.51989928
Rv0012,98.15161721,105.664639,27.42480584,26.81423058,119.7198789,148.2061654,63.49989543,53.68647043,16.03841632,19.31680774,29.41726072,42.00220735
trpG,53.57369103,50.2016708,13.8066206,14.97255026,39.76444505,30.51387609,14.06784702,10.04068284,4.432545371,6.723331133,7.586636366,19.92301199
pknB,96.83617134,100.9428846,12.85372852,13.70407839,23.44013976,8.162603835,20.60062077,19.63178963,4.967553932,5.385132893,5.747750029,11.43187798
pknA,133.7313985,141.6321354,24.14274662,27.61850214,34.71822269,21.09885243,39.37940561,33.27733739,6.517807395,9.015037629,11.97303154,20.72004829
pbpA,126.0667968,120.2548389,41.59404461,40.75013554,48.19308167,23.59294219,32.34575188,26.58117111,8.816440854,10.73178494,12.77741853,19.97022464
rodA,106.6487725,107.5458437,11.74382181,10.43410288,28.08258366,10.94539107,39.92276816,28.68724469,4.44108286,6.134947047,5.601822697,11.70739116
pstP,121.2306732,124.4684067,19.0243991,17.79990841,41.79910293,21.41231297,26.35066745,19.53512002,7.842185202,8.216543631,10.07965508,20.08885639
fhaB,176.9420243,172.2548321,35.45438314,33.09060968,72.5899378,33.31471924,40.67564726,36.8292556,13.69378364,17.76335817,13.60556652,29.80128591
IGR11_Rodriguez_Rv0019c-Rv0020c,252.5614579,225.3684391,60.45905336,54.81018473,150.9572519,54.63151127,84.54020223,90.36485283,27.99275659,33.35367394,21.77226635,60.76372168
Miotto_candidate_1,1.235031579,0.869842481,0.227265461,0.670552298,1.179604043,0.796747621,0.313520862,0.499331513,0,0.25132268,0.125320418,0.419122563
fhaA,416.2903687,421.3439546,105.3287892,106.992567,246.1097874,126.809627,159.564008,146.170474,46.98586461,52.99092704,68.36062673,133.9399992
Miotto_candidate_2,0,0,0,0,0.224184952,0,0,0.221429749,0,0,0,0.371721797
Miotto_candidate_3,0.528792257,0.558648834,0,0.64598465,0.649363309,0,0,0.21379424,0.140578458,0.161409825,0.48291575,0.717807607
Miotto_candidate_4,8.945402341,10.95937566,4.481808577,4.407895255,18.769995,10.37789813,3.950132327,1.641185195,0.319747081,0.917820573,4.713952106,4.693898764
IGR12_Rodriguez_Rv0020c-Rv0021c,0.902057379,0,1.327943282,2.938596837,1.723147082,0.387958809,0,0,0,0,0.366132202,0
Miotto_candidate_900,0,0.305675777,0.319458054,0.235642199,0,0,0,0,0,0.353274334,0,0
leuT,0,0,0.407982575,3.912228319,0.302514634,0,0,0,0.196471098,0,0,0
Miotto_candidate_901,0,0,0,0,0,0,0,0,0,0,0,0
Rv0021c,23.16863163,23.20612269,12.23105655,12.86280545,15.31398384,11.63876426,5.568149916,3.583094382,0.656322956,1.140029764,4.894609443,6.573606507
whiB5,2.26373447,1.928668595,25.07441476,22.95603862,12.01631343,12.53106952,0.889802065,1.00381486,0.038826431,0.089159713,3.201041541,1.536450092
Rv0023,52.11107089,63.58452635,28.19683459,24.29773649,19.7352543,13.13927421,11.20908243,13.05947279,2.284263193,2.695606881,9.396918316,19.11546795
Rv0024,45.27986838,46.76405811,19.3328764,21.84843275,16.94689841,10.10343791,15.65436345,12.63458253,2.756401254,3.585358664,9.226012165,20.9148434
Rv0025,66.24033469,79.70980091,17.81748693,20.09255468,61.76882138,25.50909324,31.46479821,21.45245563,5.211084658,8.252799863,18.31266189,29.01682872
IGR13_Rodriguez_Rv0025-Rv0026,0,0,0,1.469298419,0,0,0,0,0,0,0,0.40816511
Rv0026,24.68168282,24.29521063,15.58632761,17.69048385,10.86739468,6.463099976,3.277305488,2.761707331,0.556886898,1.139814591,2.730905893,6.382466006
Rv0027,23.05068636,23.84271063,39.50631264,42.25850105,52.34930125,10.07960905,22.69624842,26.43787639,16.25582094,13.07115035,10.39331884,22.5183921
