,Accounted for,gluc_exp,gluc_sta,gluc_latesta,glyc_exp,glyc_sta,nacl_100_exp,nacl_300_exp,nacl_100_sta,nacl_300_sta,lact_exp,lact_sta,gluconate_exp,gluconate_sta,mgso4_0.08_exp,mgso4_0.08_sta,mgso4_8_exp,mgso4_400_exp,mgso4_8_sta,mgso4_400_sta,mgso4_0.005_exp,mgso4_0.005_sta
0,gluc_exp,0.0,0.012614534525446718,0.05096020498550725,0.036120635931534015,0.022302828313580846,0.08355729752666861,-0.12814079570154405,-0.03344865184827379,-0.04625286801776702,-0.13270636051939988,-0.026743358051677317,-0.07395639953999561,-0.011503618627029793,0.06156463329755624,0.008685708373658533,0.07541782179220263,-0.1618421488937055,0.008618848844728142,-0.11249434788370788,0.04023276830904963,-0.015302620388238231
1,gluc_sta,-0.3908066640844831,0.0,-0.09683849146581452,-0.3414178690941925,-0.2510655525781748,-0.10275435468139447,-0.4079965606007362,-0.15670098877344035,-0.331680099529737,-0.41073478232661975,-0.31475938816311355,-0.3903843898616015,-0.19749963886635663,-0.2964327905089704,-0.1814609010315995,-0.29944382131057606,-0.4187323423053239,-0.042797868894686446,-0.3786839267652439,-0.3348142575590608,-0.19279982690969877
2,gluc_latesta,-0.38728732492032264,-0.061212208691118604,0.0,-0.3367449672511009,-0.2592869128717439,-0.099508085793739,-0.4056617967123472,-0.14965258911815899,-0.328139181194356,-0.40173756998002136,-0.3035533159146016,-0.38228612602822765,-0.17305299706515867,-0.287610155865297,-0.16362518113307278,-0.2908648222143776,-0.41671266632269555,-0.058812797816835266,-0.3793055523450705,-0.32673757980293,-0.18178614008564836
3,glyc_exp,-0.2101332223737544,0.04706219949511321,0.06553866942169209,0.0,0.030477644995029054,0.1452705382357172,-0.24354747061035426,-0.015169959124772986,-0.10568641024362291,-0.24291198959618523,-0.04196977931090835,-0.2048699960816625,0.011692220827864367,0.03675018700071388,0.027929965192601863,0.00745831800913213,-0.2624150748430726,0.0398737283389497,-0.18512036620766972,-0.06592615478862279,-0.011935228913184971
4,glyc_sta,-0.3167990514946387,0.06917395908615896,0.12182517465249851,-0.2458371120302022,0.0,0.02626139906758689,-0.3397970870849486,-0.039670118383234504,-0.22748632921480738,-0.33938333591752395,-0.17959110877384535,-0.3147936042763298,-0.030538438503172952,-0.18463470270295398,-0.003826111442186075,-0.18767496927538216,-0.35379317661220605,0.05019869982245906,-0.2960231918519152,-0.2407596517322804,-0.06745866908490207
5,nacl_100_exp,-0.39854882846996487,-0.10462392601448967,-0.12603017038978379,-0.3655539862596617,-0.24402231695649096,0.0,-0.41842389246704076,-0.17217839399956378,-0.33390468453310057,-0.40796709181886115,-0.3146477199927004,-0.3896066060095099,-0.18945858967326953,-0.3085284864152429,-0.18318760845776308,-0.3073172008095152,-0.4283079238013629,-0.0954065111747688,-0.38322461694046905,-0.34064168386888083,-0.19950050568084324
6,nacl_300_exp,-0.021621760710520445,0.020239394832952243,0.061595336970925736,0.03468258406607009,0.036542377960956204,0.101763911283561,0.0,-0.02098132857310844,0.0016504829883414469,-0.11295609845661973,-0.00947807214496872,-0.0717390912133332,0.013072122277297385,0.05435446738704888,0.013748609799263756,0.06396864590079895,-0.10924383559150083,0.015308034164444683,-0.06422765723850102,0.0347088174384519,-0.0006570102119670114
7,nacl_100_sta,-0.3701521530208484,-0.07420052392575358,-0.09453839017657634,-0.31228509743593436,-0.20409182869394604,-0.10152594261164144,-0.3875680548277608,0.0,-0.2996440122837841,-0.39227719464046484,-0.2667135960579519,-0.37171607545920154,-0.15899468542289746,-0.27008143256759143,-0.143404011775866,-0.27368647819362374,-0.398417491206948,-0.05472583710206223,-0.3501714269524785,-0.3120816253810366,-0.1632546107998074
8,nacl_300_sta,-0.22991920126150578,0.05599302304955571,0.07853210256797104,-0.13913094700355944,0.006480052917073875,0.06635929357816454,-0.256872619713114,0.0031780536804355006,0.0,-0.2672501581268071,-0.0848083579581779,-0.24000708251585215,0.0023847246051312753,-0.09066502551517677,0.013329759911815906,-0.09354987367074989,-0.2748700792946524,0.04574403775769489,-0.19837034172385312,-0.15128360481679712,-0.006124456320496426
9,lact_exp,-0.04110024748935313,-0.0557637273527508,-0.00523184892145542,-0.029768399831782383,-0.032087130139384495,-0.0006831863470607241,-0.1130064265405185,-0.06907468186921639,-0.07640359838002611,0.0,-0.06323403893886093,-0.03215983985920921,-0.07166742233849002,-0.01762546741825174,-0.0529889137244282,-0.009882697903595474,-0.14738036084969272,-0.051380065889384256,-0.13338411482912205,-0.020024848756931043,-0.05726204642393875
