Gene Name,Evo Rate
MRA_2063,0.0932
MRA_2551,0.0506
MRA_2966,0.0447
MRA_1672,0.2707
MRA_1539,0.17
MRA_1191,0.1172
MRA_2957,0.1191
MRA_2960,0.0919
MRA_3840,0.0676
MRA_0112,0.0877
MRA_2501,0.081
MRA_0430,0.1671
MRA_2958,0.1113
MRA_3899,0.0353
MRA_3337,0.0872
MRA_2961,0.0825
MRA_0244,0.1076
MRA_3933,0.3001
MRA_1798,0.0496
MRA_3488,0.1996
MRA_2022,0.2939
MRA_0677,0.0185
MRA_1028,0.0552
MRA_1172,0.0447
MRA_1256,0.0454
MRA_0274,0.0823
MRA_2947,0.0817
MRA_2075,0.0615
MRA_0202,0.3002
MRA_2139,0.0337
MRA_3949,0.0994
MRA_1559,0.03
MRA_0676,0.0248
MRA_1651,0.0844
MRA_2619,0.1577
MRA_0898,0.2323
MRA_1193,0.1623
MRA_2595,0.0848
MRA_1259,0.1249
MRA_0394,0.2036
MRA_2995,0.0596
MRA_1393,0.0404
MRA_3238,0.1123
MRA_3835,0.0889
MRA_0640,0.1838
MRA_3834,0.0855
MRA_0639,0.2209
MRA_3833,0.0825
MRA_3766,0.1464
MRA_3239,0.1255
MRA_3280,0.2197
MRA_1548,0.0614
MRA_1694,0.0538
MRA_2238,0.0776
MRA_3227,0.0545
MRA_1648,0.035
MRA_0044,0.0695
MRA_0515,0.2198
MRA_0455,0.1114
MRA_0210,0.1053
MRA_2470,0.1072
MRA_3281,0.0396
MRA_2559,0.0605
MRA_1768D,0.3245
MRA_0214,0.1189
MRA_1485,0.0391
MRA_1843,0.0648
MRA_3681,0.0587
MRA_2968,0.1402
MRA_2107,0.0616
MRA_2013,0.6339
MRA_1639,0.0537
MRA_2584,0.0601
MRA_2261,0.0392
MRA_2862,0.0528
MRA_2596,0.1069
MRA_2774,0.0796
MRA_0347,0.0921
MRA_0591,0.1393
MRA_2474,0.0615
MRA_1286,0.1709
MRA_1758,0.0871
MRA_1336,0.0752
MRA_2493,0.0697
MRA_1036,0.1205
MRA_1184,0.0457
MRA_0994,0.2073
MRA_2062,0.1266
MRA_0261,0.0481
MRA_0392,0.0405
MRA_3636,0.0116
MRA_1470,0.0618
MRA_0006,0.0319
MRA_1661,0.0917
MRA_3717,0.0416
MRA_1833,0.0472
MRA_2943,0.143
MRA_3184,0.0742
MRA_1877,0.1307
MRA_3948,0.1351
MRA_0382,0.0281
MRA_0915,0.1104
MRA_0592,0.0993
MRA_2763,0.393
MRA_2612,0.0243
MRA_2507,0.0851
MRA_0673,0.2336
MRA_3441,0.0429
MRA_2925,0.0631
MRA_0956,0.0607
MRA_3684,0.0848
MRA_0976,0.0988
MRA_1575,0.1399
MRA_3314,0.1434
MRA_0108,0.1131
MRA_3649,0.0396
MRA_1142,0.0783
MRA_0946,0.1041
MRA_3095,0.1327
MRA_0870,0.1049
MRA_0813,0.0346
MRA_2807,0.0291
MRA_1503,0.0506
MRA_0416,0.0647
MRA_0205,0.0784
MRA_3909,0.0672
MRA_0068,0.0678
MRA_3013,0.0543
MRA_1848,0.0762
MRA_1919,0.0731
MRA_3001,0.0959
MRA_1334,0.0609
MRA_3093,0.0827
MRA_2461,0.1906
MRA_3918,0.2548
MRA_1577,0.1098
MRA_0440,0.0957
MRA_1796,0.1121
MRA_1576,0.0605
MRA_0868,0.0335
MRA_3311,0.0477
MRA_1363,0.1314
MRA_0005,0.0457
MRA_0127,0.0576
MRA_3612,0.0945
MRA_1038,0.1727
MRA_2975,0.1159
MRA_0693,0.0377
MRA_1335,0.0636
MRA_1458,0.0427
MRA_3234,0.0625
MRA_1879,0.1394
MRA_2749,0.2019
MRA_1643,0.0257
MRA_2346,0.1098
MRA_2899,0.2314
MRA_3083,0.0266
MRA_0577,0.0976
MRA_2642,0.069
MRA_3044,0.0628
MRA_0194,0.1006
MRA_0414,0.1113
MRA_0117,0.0876
MRA_0832,0.1852
MRA_2045,0.105
MRA_2464,0.0782
MRA_2178,0.0777
MRA_1847,0.1823
MRA_1186,0.0729
MRA_1094,0.1055
MRA_0463,0.0975
MRA_0966,0.0483
MRA_0980,0.0984
MRA_3819,0.1744
MRA_1337,0.0879
MRA_0939,0.161
MRA_0206,0.0911
MRA_0107,0.1746
MRA_2365,0.1453
MRA_2718,0.0894
MRA_1411,0.0824
MRA_2527,0.1017
MRA_2481,0.0543
MRA_1373,0.1216
MRA_2428,0.0247
MRA_2217,0.0555
MRA_3702,0.0813
MRA_0880,0.0831
MRA_2316,0.0862
MRA_1429,0.0378
MRA_0257,0.0506
MRA_3747,0.0558
MRA_0947,0.0998
MRA_3832,0.0959
MRA_0782,0.0933
MRA_2426,0.0324
MRA_0087,0.1406
MRA_1831,0.1383
MRA_2363,0.0947
MRA_2710,0.0606
MRA_0679,0.1291
MRA_3848,0.0556
MRA_3841,0.0146
MRA_1177,0.0727
MRA_3189,0.0691
MRA_0291,0.0857
MRA_1280,0.1016
MRA_2873,0.0654
MRA_0499,0.1112
MRA_1176,0.0617
MRA_3845,0.0913
MRA_3800,0.1145
MRA_1274,0.114
MRA_0016,0.0532
MRA_2942,0.081
MRA_0359,0.0288
MRA_3477,0.0438
MRA_0732,0.1038
MRA_1936,0.1228
MRA_0321,0.2089
MRA_2977,0.1078
MRA_3923,0.2636
MRA_3033,0.0477
MRA_1502,0.1179
MRA_1294,0.0503
MRA_1289,0.0665
MRA_0253,0.0399
MRA_2938,0.0694
MRA_1811,0.0375
MRA_1476,0.0683
MRA_2130,0.0256
MRA_0219,0.0557
MRA_2889,0.087
MRA_1305,0.0753
MRA_0133,0.042
MRA_3326,0.0347
MRA_2202,0.0922
MRA_1215,0.1047
MRA_2601,0.0389
MRA_0924,0.0665
MRA_3837,0.0947
MRA_2230,0.096
MRA_1288,0.0823
MRA_3910,0.0914
MRA_3671,0.1139
MRA_1468,0.109
MRA_3360,0.0245
MRA_1440,0.0862
MRA_2811,0.1345
MRA_1079,0.1315
MRA_1705,0.1113
MRA_1708,0.041
MRA_2967,0.0774
MRA_1809,0.1168
MRA_3343,0.0399
MRA_2939,0.2413
MRA_1541,0.1884
MRA_2594,0.1682
MRA_3285,0.0613
MRA_2956,0.1175
MRA_0125,0.092
MRA_1281,0.0809
MRA_0763,0.224
MRA_2508,0.1054
MRA_1574,0.0965
MRA_1258,0.1909
MRA_3449,0.0505
MRA_1195,0.1646
MRA_3164,0.1717
MRA_1141,0.0834
MRA_1630,0.1544
MRA_0234,0.1638
MRA_0197,0.0343
MRA_0893,0.1217
MRA_0638,0.1733
MRA_2616,0.0722
MRA_2042,0.2217
MRA_3907,0.0443
MRA_3075,0.0239
MRA_0558,0.0426
MRA_1037,0.3576
MRA_0239,0.0698
MRA_1326,0.1458
MRA_3286,0.0426
MRA_1015,0.1784
MRA_0794,0.0759
MRA_2407,0.8407
MRA_0518,0.0576
MRA_3534,0.0964
MRA_2415,0.0361
MRA_1261,0.0823
MRA_3576,0.0602
MRA_0914,0.1416
MRA_0861,0.0763
MRA_0054,0.0942
MRA_0983,0.0679
MRA_0278,0.0822
MRA_1173,0.0494
MRA_1995,0.2833
MRA_2502,0.0168
MRA_2777,0.0377
MRA_2614,0.1053
MRA_1645,0.1645
MRA_1713,0.1009
MRA_2127,0.0158
MRA_0562,0.0654
MRA_0174,0.0866
MRA_3190,0.0698
MRA_2231,0.0702
MRA_3304,0.0863
MRA_0953,0.0565
MRA_2436,0.0551
MRA_3925,0.2202
MRA_2114,0.2845
MRA_1300,0.0478
MRA_2212,0.0246
MRA_2824,0.1154
MRA_3680,0.075
MRA_1316,0.0326
MRA_3554,0.0539
MRA_2352,0.1004
MRA_1226,0.1461
MRA_3697,0.1052
MRA_0545,0.2423
MRA_0883,0.0749
MRA_3321,0.0404
MRA_2531,0.1027
MRA_1832,0.078
MRA_3101,0.0587
MRA_0429,0.0296
MRA_2497,0.1111
MRA_1021,0.0671
MRA_1068,0.0757
MRA_1197,0.0521
MRA_0869,0.023
MRA_2305,0.1486
MRA_1482,0.0393
MRA_0682,0.0493
MRA_3700,0.115
MRA_2781,0.1126
MRA_0445,0.0181
MRA_0792,0.1798
MRA_0103,0.1408
MRA_3851,0.1097
MRA_1396,0.1601
MRA_3457,0.0708
MRA_1196,0.1248
MRA_0292,0.143
MRA_3924,0.3898
MRA_0222,0.0874
MRA_0289,0.321
MRA_2173,0.1216
MRA_0905,0.1262
MRA_3349,0.1221
MRA_2067,0.0903
MRA_0559,0.0976
MRA_2536,0.111
MRA_0816,0.089
MRA_3546,0.0927
MRA_3191,0.0863
MRA_2869,0.0505
MRA_0180,0.1001
MRA_2528,0.0317
MRA_2271,0.09
MRA_3451,0.0289
MRA_0981,0.0329
MRA_2606,0.1002
MRA_0535,0.084
MRA_3025,0.0456
MRA_1232,0.0769
MRA_2731,0.0673
MRA_1287,0.7535
MRA_2700,0.1297
MRA_0022,0.0957
MRA_1605,0.1024
MRA_3139,0.0846
MRA_3250,0.1103
MRA_0818,0.0263
MRA_1631,0.1404
MRA_3062,0.0703
MRA_0126,0.1426
MRA_2941,0.0452
MRA_3436,0.0593
MRA_3081,0.091
MRA_2169,0.1051
MRA_2629,0.1137
MRA_0964,0.0494
MRA_3839,0.0286
MRA_2240,0.1358
MRA_0265,0.1809
MRA_2241,0.0642
MRA_1016,0.0562
MRA_0777,0.0789
MRA_1419,0.0875
