id	dN	dS	id_symbol
MRA_2063	0.0932	1.0722	pks12
MRA_2551	0.0506	1.106	fas
MRA_2966	0.0447	0.4935	mas
MRA_1672	0.2707	3.3304	pks7
MRA_1539	0.17	1.9082	pks5
MRA_1191	0.1172	1.0559	pks3
MRA_2957	0.1191	0.898	ppsA
MRA_2960	0.0919	0.8127	ppsD
MRA_3840	0.0676	1.0916	pks13
MRA_0112	0.0877	0.9704	ctpI2
MRA_2501	0.081	1.0437	gdh
MRA_0430	0.1671	1.1329	ctpH
MRA_2958	0.1113	1.2023	ppsB
MRA_3899	0.0353	1.0186	gltB
MRA_3337	0.0872	1.0569	lhr
MRA_2961	0.0825	0.5931	ppsE
MRA_0244	0.1076	1.1135	MRA_0244
MRA_3933	0.3001	4.2468	MRA_3933
MRA_1798	0.0496	0.8715	MRA_1798
MRA_3488	0.1996	1.0023	MRA_3488
MRA_2022	0.2939	2.6829	otsB1
MRA_0677	0.0185	0.8135	rpoC
MRA_1028	0.0552	0.9842	mfd
MRA_1172	0.0447	0.9061	narG
MRA_1256	0.0454	1.0238	kgd
MRA_0274	0.0823	1.1064	oplA
MRA_2947	0.0817	1.0584	smc
MRA_2075	0.0615	1.1522	cobN
MRA_0202	0.3002	2.8343	MRA_0202
MRA_2139	0.0337	1.0088	metH
MRA_3949	0.0994	1.0712	MRA_3949
MRA_1559	0.03	1.1137	dnaE1
MRA_0676	0.0248	1.0186	rpoB
MRA_1651	0.0844	1.3756	lysS1
MRA_2619	0.1577	1.6107	fadD9
MRA_0898	0.2323	1.1542	MRA_0898
MRA_1193	0.1623	1.576	mmpL10
MRA_2595	0.0848	1.2324	MRA_2595
MRA_1259	0.1249	1.2259	MRA_1259
MRA_0394	0.2036	1.282	MRA_0394
MRA_2995	0.0596	0.8971	pca
MRA_1393	0.0404	1.1584	carB
MRA_3238	0.1123	1.182	MRA_3238
MRA_3835	0.0889	1.2734	embB
MRA_0640	0.1838	2.2	recC
MRA_3834	0.0855	1.2092	embA
MRA_0639	0.2209	3.2768	recB
MRA_3833	0.0825	1.1064	embC
MRA_3766	0.1464	0.9537	MRA_3766
MRA_3239	0.1255	0.9456	MRA_3239
MRA_3280	0.2197	2.6593	MRA_3280
MRA_1548	0.0614	1.2645	ileS
MRA_1694	0.0538	1.0136	MRA_1694
MRA_2238	0.0776	0.9977	glnE
MRA_3227	0.0545	1.0537	MRA_3227
MRA_1648	0.035	1.0576	uvrA
MRA_0044	0.0695	1.1177	leuS
MRA_0515	0.2198	2.3748	mmpL2
MRA_0455	0.1114	1.3212	mmpL4
MRA_0210	0.1053	1.2176	mmpL11
MRA_2470	0.1072	1.0955	rne
MRA_3281	0.0396	0.8896	secA1
MRA_2559	0.0605	1.1805	MRA_2559
MRA_1768D	0.3245	1.0117	mmpL14
MRA_0214	0.1189	1.4669	mmpL3
MRA_1485	0.0391	1.0769	acn
MRA_1843	0.0648	1.2717	gcvB
MRA_3681	0.0587	0.9936	topA
MRA_2968	0.1402	0.478	mmpL7
MRA_2107	0.0616	1.0662	helY
MRA_2013	0.6339	65.3217	ctpF
MRA_1639	0.0537	1.256	polA
MRA_2584	0.0601	1.0738	alaS
MRA_2261	0.0392	1.1675	aceE
MRA_2862	0.0528	0.8725	infB
