id	dN	dS	id_symbol
Rv2524c	0.0754	1.454	fas
Rv2933	0.0983	0.9295	ppsC
Rv2940c	0.0608	0.7013	mas
Rv1661	0.3255	63.8529	pks7
Rv1527c	0.2527	3.7776	pks5
Rv2931	0.1463	1.0652	ppsA
Rv2934	0.1126	1.0159	ppsD
Rv3800c	0.0917	1.5301	pks13
Rv0107c	0.1165	1.2041	ctpI
Rv2476c	0.0994	1.281	gdh
Rv2932	0.1362	1.423	ppsB
Rv3859c	0.0506	1.2769	gltB
Rv2935	0.1031	0.7738	ppsE
Rv0236c	0.1283	1.2544	aftD
Rv1783	0.068	1.0451	eccC5
Rv0284	0.0864	1.4779	eccC3
Rv0668	0.0229	1.1392	rpoC
Rv1020	0.0806	1.2825	mfd
Rv1248c	0.0505	1.1501	Rv1248c
Rv2922c	0.1246	1.2836	smc
Rv2124c	0.0605	1.4283	metH
Rv1547	0.0431	1.494	dnaE1
Rv3910	0.1492	1.446	Rv3910
Rv1640c	0.106	1.4299	lysX
Rv0667	0.0286	1.3214	rpoB
Rv2590	0.1887	1.8525	fadD9
Rv1358	0.3378	1.5237	Rv1358
Rv1183	0.1847	1.5991	mmpL10
Rv2566	0.2729	1.3784	Rv2566
Rv1251c	0.151	1.5094	Rv1251c
Rv1384	0.0601	1.6653	carB
Rv3795	0.1197	1.5181	embB
Rv3794	0.1262	1.3946	embA
Rv3793	0.0961	1.3778	embC
Rv1536	0.0824	1.4532	ileS
Rv1683	0.0757	1.274	Rv1683
Rv2221c	0.0954	1.2786	glnE
Rv3193c	0.0691	1.2076	Rv3193c
Rv1638	0.0487	1.2327	uvrA
Rv0041	0.0932	1.4196	leuS
Rv0450c	0.1376	1.6222	mmpL4
Rv0202c	0.1387	1.3842	mmpL11
Rv2444c	0.1429	1.2931	rne
Rv3240c	0.061	1.188	secA1
Rv2531c	0.0693	1.2769	Rv2531c
Rv0206c	0.1295	1.5026	mmpL3
Rv1475c	0.0634	1.457	acn
Rv1832	0.0833	1.4807	gcvB
Rv3646c	0.0788	1.2857	topA
Rv2942	0.1991	0.7299	mmpL7
Rv2092c	0.0974	1.1921	helY
Rv2555c	0.0836	1.3548	alaS
Rv1629	0.0787	1.5033	polA
Rv2241	0.0494	1.2881	aceE
Rv2839c	0.0659	1.1782	infB
Rv2567	0.1476	1.2442	Rv2567
Rv2748c	0.1247	1.3805	ftsK
Rv0338c	0.1191	1.6539	Rv0338c
