"Name","Chromosome","Region","Expression value","TPM","RPKM","Gene length","Unique gene reads","Total gene reads"
"dnaA","NC_000962.3","1..1524","1767","24.1355742833","0","1524","1767","1767"
"dnaN","NC_000962.3","2052..3260","691","11.8975571857","0","1209","691","691"
"recF","NC_000962.3","3280..4437","425","7.6398780283","0","1158","425","425"
"Rv0004","NC_000962.3","4434..4997","374","13.8037966419","0","564","374","374"
"gyrB","NC_000962.3","5240..7267","24993","256.5408284828","0","2028","24993","24993"
"IGR3_Rodriguez_Rv0005-Rv0006","NC_000962.3","7178..7419","577","49.6325400359","0","242","574","577"
"gyrA","NC_000962.3","7302..9818","10741","88.8316145057","0","2517","10738","10741"
"IGR4_Rodriguez_Rv0006-Rv0007","NC_000962.3","9846..9939","76","16.8302975099","0","94","76","76"
"Rv0007","NC_000962.3","9914..10828","1432","32.5782670004","0","915","1432","1432"
"ileT","NC_000962.3","10887..10960","12","3.3756357737","0","74","12","12"
"alaT","NC_000962.3","11112..11184","1","0.2851564466","0","73","1","1"
"IGR6_Rodriguez_Rv0007-Rv0008c","NC_000962.3","11196..11333","30","4.525308827","0","138","30","30"
"Rv0008c","NC_000962.3","complement(11874..12311)","326","15.4935002671","0","438","326","326"
"IGR7_Rodriguez_Rv0008c-Rv0009","NC_000962.3","complement(12264..12365)","3","0.6122476648","0","102","3","3"
"IGR8_Rodriguez_Rv0008c-Rv0009","NC_000962.3","complement(12407..12496)","7","1.6190549359","0","90","7","7"
"ppiA","NC_000962.3","12468..13016","584","22.143514814","0","549","584","584"
"IGR9_Rodriguez_Rv0009-Rv0010c","NC_000962.3","complement(13040..13126)","26","6.2209992611","0","87","26","26"
"Rv0010c","NC_000962.3","complement(13133..13558)","469","22.9176085996","0","426","469","469"
"IGR10_Rodriguez_Rv0010c-Rv0011c","NC_000962.3","complement(13500..13757)","359","28.9654844843","0","258","359","359"
"Rv0011c","NC_000962.3","complement(13714..13995)","427","31.5198992838","0","282","427","427"
"Rv0012","NC_000962.3","14089..14877","1592","42.0022073537","0","789","1592","1592"
"trpG","NC_000962.3","14914..15612","669","19.9230119947","0","699","669","669"
"pknB","NC_000962.3","complement(15590..17470)","1033","11.4318779821","0","1881","1033","1033"
"pknA","NC_000962.3","complement(17467..18762)","1290","20.7200482867","0","1296","1290","1290"
"pbpA","NC_000962.3","complement(18759..20234)","1416","19.9702246448","0","1476","1416","1416"
"rodA","NC_000962.3","complement(20231..21640)","793","11.7073911626","0","1410","793","793"
"pstP","NC_000962.3","complement(21637..23181)","1491","20.088856389","0","1545","1491","1491"
"fhaB","NC_000962.3","complement(23270..23737)","670","29.8012859079","0","468","670","670"
"IGR11_Rodriguez_Rv0019c-Rv0020c","NC_000962.3","complement(23699..23945)","721","60.763721683","0","247","721","721"
"Miotto_candidate_1","NC_000962.3","23850..23998","3","0.4191225625","0","149","3","3"
"fhaA","NC_000962.3","complement(23861..25444)","10192","133.9399992418","0","1584","10192","10192"
"Miotto_candidate_2","NC_000962.3","24046..24157","2","0.3717217965","0","112","2","2"
"Miotto_candidate_3","NC_000962.3","24672..24787","4","0.717807607","0","116","4","4"
"Miotto_candidate_4","NC_000962.3","24867..25274","92","4.6938987637","0","408","92","92"
"IGR12_Rodriguez_Rv0020c-Rv0021c","NC_000962.3","25511..25612","0","0","0","102","0","0"
"Miotto_candidate_900","NC_000962.3","complement(25623..25728)","0","0","0","106","0","0"
"leuT","NC_000962.3","25644..25726","0","0","0","83","0","0"
"Miotto_candidate_901","NC_000962.3","complement(25779..25816)","0","0","0","38","0","0"
"Rv0021c","NC_000962.3","complement(25913..26881)","306","6.5736065066","0","969","306","306"
"whiB5","NC_000962.3","complement(27023..27442)","31","1.5364500922","0","420","31","31"
"Rv0023","NC_000962.3","27595..28365","708","19.1154679479","0","771","708","708"
"Rv0024","NC_000962.3","28362..29207","850","20.9148433968","0","846","850","850"
"Rv0025","NC_000962.3","29245..29607","506","29.0168287211","0","363","506","506"
"IGR13_Rodriguez_Rv0025-Rv0026","NC_000962.3","29676..29726","1","0.4081651099","0","51","1","1"
"Rv0026","NC_000962.3","29722..31068","413","6.3824660056","0","1347","413","413"
"Rv0027","NC_000962.3","31189..31506","344","22.5183921002","0","318","344","344"
"Rv0028","NC_000962.3","31514..31819","172","11.7007331501","0","306","172","172"
"IGR14_Rodriguez_Rv0028-Rv0029","NC_000962.3","31770..31926","33","4.3754259869","0","157","33","33"
"IGR15_Rodriguez_Rv0028-Rv0029","NC_000962.3","complement(31802..31925)","6","1.0072461583","0","124","6","6"
"Rv0029","NC_000962.3","32057..33154","1441","27.319182232","0","1098","1441","1441"
"Rv0030","NC_000962.3","33224..33553","308","19.4286592307","0","330","308","308"
"IGR16_Rodriguez_Rv0031-Rv0032","NC_000962.3","complement(33873..34107)","83","7.3521825964","0","235","83","83"
"bioF2","NC_000962.3","34295..36610","232","2.0852372971","0","2316","232","232"
"acpA","NC_000962.3","36607..36870","14","1.1039010927","0","264","14","14"
"Rv0034","NC_000962.3","36867..37262","64","3.3642699967","0","396","64","64"
"fadD34","NC_000962.3","37259..38947","116","1.4296653583","0","1689","116","116"
"Rv0036c","NC_000962.3","complement(39056..39829)","1239","33.322409727","0","774","1239","1239"
"Rv0037c","NC_000962.3","complement(39877..41202)","2850","44.741175507","0","1326","2850","2850"
"Rv0038","NC_000962.3","41304..41912","4675","159.797645854","0","609","4675","4675"
"IGR17_Rodriguez_Rv0038-Rv0039c","NC_000962.3","complement(41864..41990)","19","3.1142676495","0","127","19","19"
"Rv0039c","NC_000962.3","complement(42004..42351)","260","15.5524981526","0","348","260","260"
"IGR18_Rodriguez_Rv0039c-Rv0040c","NC_000962.3","complement(42332..42399)","0","0","0","68","0","0"
"mtc28","NC_000962.3","complement(42433..43365)","464","10.3524321119","0","933","464","464"
"leuS","NC_000962.3","43562..46471","2894","20.701966058","0","2910","2894","2894"
"Miotto_candidate_902","NC_000962.3","complement(44050..44092)","0","0","0","43","0","0"
"Rv0042c","NC_000962.3","complement(46581..47207)","295","9.7940096942","0","627","295","295"
"IGR19_Rodriguez_Rv0042c-Rv0043c","NC_000962.3","47197..47297","38","7.8319206234","0","101","38","38"
"Rv0043c","NC_000962.3","complement(47366..48100)","226","6.4006953151","0","735","226","226"
"Rv0044c","NC_000962.3","complement(48233..49027)","420","10.9973542815","0","795","420","420"
"Rv0045c","NC_000962.3","complement(49043..49939)","2050","47.5737594636","0","897","2050","2050"
"IGR20_Rodriguez_Rv0045c-Rv0046c","NC_000962.3","complement(49946..50075)","760","121.695997379","0","130","760","760"
"ino1","NC_000962.3","complement(50021..51124)","14642","276.0815493552","0","1104","14642","14642"
"Miotto_candidate_5","NC_000962.3","50563..51056","17858","752.509390995","0","494","17858","17858"
"Miotto_candidate_6","NC_000962.3","51104..51192","27","6.3150938912","0","89","27","27"
"Miotto_candidate_903","NC_000962.3","complement(51124..51185)","0","0","0","62","0","0"
"Rv0047c","NC_000962.3","complement(51185..51727)","7948","304.6941270036","0","543","7948","7948"
"Miotto_candidate_7","NC_000962.3","51419..51457","0","0","0","39","0","0"
"Miotto_candidate_8","NC_000962.3","51664..51743","1","0.2602052576","0","80","1","1"
"Miotto_candidate_904","NC_000962.3","complement(51727..51759)","0","0","0","33","0","0"
"Rv0048c","NC_000962.3","complement(51828..52697)","1004","24.0226279158","0","870","1004","1004"
"Miotto_candidate_9","NC_000962.3","51988..52108","34","5.8492421533","0","121","34","34"
"IGR21_Rodriguez_Rv0048c-Rv0049","NC_000962.3","52706..52936","200","18.0228749821","0","231","198","200"
"Rv0049","NC_000962.3","52831..53244","3773","189.7110022706","0","414","3714","3773"
"IGR22_Rodriguez_Rv0049-Rv0050","NC_000962.3","53506..53586","20","5.1398569393","0","81","20","20"
"ponA1","NC_000962.3","53663..55699","6286","64.2376140985","0","2037","6286","6286"
"Rv0051","NC_000962.3","55696..57378","1290","15.9555452047","0","1683","1290","1290"
"Rv0052","NC_000962.3","57410..57973","205","7.56625217","0","564","205","205"
"Miotto_candidate_905","NC_000962.3","complement(58145..58220)","0","0","0","76","0","0"
"rpsF","NC_000962.3","58192..58482","1093","78.1867619261","0","291","1093","1093"
"IGR23_Rodriguez_Rv0053-Rv0054","NC_000962.3","58431..58710","419","31.1502865471","0","280","413","419"
"ssb","NC_000962.3","58586..59080","826","34.7360877155","0","495","821","826"
"rpsR1","NC_000962.3","59122..59376","491","40.081813791","0","255","491","491"
"Miotto_candidate_906","NC_000962.3","complement(59359..59410)","0","0","0","52","0","0"
"rplI","NC_000962.3","59409..59867","1318","59.7735127592","0","459","1318","1318"
"Rv0057","NC_000962.3","59896..60417","295","11.7640691155","0","522","295","295"
"dnaB","NC_000962.3","60396..63020","1377","10.9196994941","0","2625","1377","1377"
"Rv0059","NC_000962.3","63200..63892","67","2.012554373","0","693","67","67"
"Rv0060","NC_000962.3","63909..64967","3720","73.1228372502","0","1059","3720","3720"
"Rv0061c","NC_000962.3","complement(65012..65350)","1394","85.5990864967","0","339","1394","1394"
"IGR24_Rodriguez_Rv0061c-Rv0062","NC_000962.3","complement(65412..65517)","302","59.3071605896","0","106","302","302"
"celA1","NC_000962.3","65552..66694","1660","30.2320719187","0","1143","1660","1660"
"IGR25_Rodriguez_Rv0062-Rv0063","NC_000962.3","66778..66855","2","0.5337543745","0","78","2","2"
"Rv0063","NC_000962.3","66923..68362","391","5.652236428","0","1440","391","391"
"Rv0063a","NC_000962.3","68418..68579","1890","242.8582403835","0","162","1890","1890"
"Rv0064","NC_000962.3","68620..71559","35279","249.7899668364","0","2940","35279","35279"
"IGR27_Rodriguez_Rv0064-Rv0064A","NC_000962.3","71517..71619","428","86.4993011518","0","103","428","428"
"vapB1","NC_000962.3","71589..71828","932","80.8371000133","0","240","932","932"
"vapC1","NC_000962.3","71821..72222","935","48.4163016543","0","402","935","935"
"icd2","NC_000962.3","complement(72274..74511)","1020","9.4873766829","0","2238","1020","1020"
"Miotto_candidate_10","NC_000962.3","74231..74261","0","0","0","31","0","0"
"IGR28_Rodriguez_Rv0066c-Rv0067c","NC_000962.3","74510..74570","0","0","0","61","0","0"
"Rv0067c","NC_000962.3","complement(74629..75198)","301","10.9925308805","0","570","301","301"
"Rv0068","NC_000962.3","75301..76212","635","14.4938893462","0","912","635","635"
"sdaA","NC_000962.3","complement(76237..77622)","676","10.1528862399","0","1386","676","676"
"glyA2","NC_000962.3","complement(77619..78896)","668","10.8805703941","0","1278","668","668"
"IGR29_Rodriguez_Rv0070c-Rv0071","NC_000962.3","complement(79075..79314)","836","72.5105317716","0","240","836","836"
"Rv0071","NC_000962.3","79486..80193","103","3.0283775738","0","708","103","103"
"Miotto_candidate_11","NC_000962.3","80382..80415","0","0","0","34","0","0"
"IGR30_Rodriguez_Rv0071-Rv0072","NC_000962.3","complement(80503..80610)","0","0","0","108","0","0"
"Rv0072","NC_000962.3","80624..81673","700","13.8776137362","0","1050","700","700"
"Rv0073","NC_000962.3","81676..82668","707","14.8209560597","0","993","707","707"
"Miotto_candidate_909","NC_000962.3","complement(81688..81732)","0","0","0","45","0","0"
"Miotto_candidate_910","NC_000962.3","complement(82249..82353)","0","0","0","105","0","0"
"IGR31_Rodriguez_Rv0073-Rv0074","NC_000962.3","82654..82755","24","4.8979813187","0","102","24","24"
"Rv0074","NC_000962.3","82748..83983","542","9.1282362197","0","1236","542","542"
"Rv0075","NC_000962.3","83996..85168","668","11.8545344959","0","1173","668","668"
"Rv0076c","NC_000962.3","complement(85183..85572)","393","20.9765469166","0","390","393","393"
"Miotto_candidate_12","NC_000962.3","85206..85276","0","0","0","71","0","0"
"Rv0077c","NC_000962.3","complement(85636..86466)","3119","78.1304643379","0","831","3119","3119"
"Rv0078","NC_000962.3","86528..87133","183","6.2861468161","0","606","183","183"
"Rv0078A","NC_000962.3","complement(87208..87801)","3889","136.2879793436","0","594","3889","3889"
