id	dN	dS	id_symbol
Rv2048c	0.0931	1.0712	pks12
Rv2524c	0.0506	1.106	fas
Rv2940c	0.0447	0.4935	mas
Rv1527c	0.17	1.9082	pks5
Rv1661	0.2707	3.3304	pks7
Rv2931	0.1191	0.898	ppsA
Rv2934	0.0919	0.8127	ppsD
Rv3800c	0.0676	1.0916	pks13
Rv0107c	0.0877	0.9704	ctpI
Rv2476c	0.081	1.0437	gdh
Rv0425c	0.1671	1.1329	ctpH
Rv2932	0.1113	1.2023	ppsB
Rv3859c	0.0353	1.0186	gltB
Rv3296	0.0872	1.0569	lhr
Rv2935	0.0825	0.5931	ppsE
Rv0236c	0.1076	1.1135	aftD
Rv3894c	0.3001	4.2469	eccC2
Rv1783	0.0496	0.8715	eccC5
Rv3447c	0.1996	1.0023	eccC4
Rv2006	0.2939	2.6829	otsB1
Rv0668	0.0185	0.8135	rpoC
Rv1020	0.0552	0.9842	mfd
Rv1161	0.0447	0.9061	narG
Rv1248c	0.0448	0.9803	Rv1248c
Rv0266c	0.0823	1.1064	oplA
Rv2922c	0.0817	1.0584	smc
Rv2062c	0.0615	1.1522	cobN
Rv0194	0.3002	2.8343	Rv0194
Rv2124c	0.0337	1.0088	metH
Rv1547	0.03	1.1137	dnaE1
Rv3910	0.0994	1.0712	Rv3910
Rv1640c	0.0844	1.3756	lysX
Rv0667	0.0248	1.0186	rpoB
Rv2590	0.1577	1.6107	fadD9
Rv0890c	0.2322	1.1525	Rv0890c
Rv1183	0.1623	1.576	mmpL10
Rv2566	0.0848	1.2324	Rv2566
Rv1251c	0.1249	1.2259	Rv1251c
Rv0386	0.2036	1.282	Rv0386
Rv2967c	0.0596	0.8971	pca
Rv1384	0.0404	1.1584	carB
Rv3201c	0.1123	1.182	Rv3201c
Rv3795	0.0889	1.2734	embB
Rv0631c	0.1838	2.2	recC
Rv3794	0.0855	1.2092	embA
Rv3793	0.0825	1.1064	embC
Rv0630c	0.2209	3.2768	recB
Rv3728	0.1464	0.9537	Rv3728
Rv3202c	0.1255	0.9456	Rv3202c
Rv3239c	0.2197	2.6593	Rv3239c
Rv1536	0.0614	1.2645	ileS
Rv1683	0.0538	1.0136	Rv1683
Rv2221c	0.0776	0.9977	glnE
Rv3193c	0.0545	1.0537	Rv3193c
Rv1638	0.035	1.0576	uvrA
Rv0041	0.0695	1.1177	leuS
Rv0507	0.2198	2.3748	mmpL2
Rv0450c	0.1114	1.3212	mmpL4
Rv0202c	0.1053	1.2176	mmpL11
Rv2444c	0.1072	1.0955	rne
Rv3240c	0.0396	0.8896	secA1
Rv2531c	0.0605	1.1805	Rv2531c
Rv0206c	0.1189	1.4669	mmpL3
Rv1475c	0.0391	1.0769	acn
Rv1832	0.0648	1.2717	gcvB
Rv3646c	0.0587	0.9936	topA
Rv2942	0.1402	0.478	mmpL7
Rv2092c	0.0616	1.0662	helY
Rv1997	0.6339	65.3217	ctpF
Rv2555c	0.0601	1.0738	alaS
Rv1629	0.0537	1.256	polA
Rv2241	0.0392	1.1675	aceE
Rv2839c	0.0528	0.8725	infB
Rv2567	0.1069	1.0863	Rv2567
