Gene Name,Evo Rate
pks12,0.0931
fas,0.0506
mas,0.0447
pks5,0.17
pks7,0.2707
ppsA,0.1191
ppsD,0.0919
pks13,0.0676
ctpI,0.0877
gdh,0.081
ctpH,0.1671
ppsB,0.1113
gltB,0.0353
lhr,0.0872
ppsE,0.0825
aftD,0.1076
eccC2,0.3001
eccC5,0.0496
eccC4,0.1996
otsB1,0.2939
rpoC,0.0185
mfd,0.0552
narG,0.0447
Rv1248c,0.0448
oplA,0.0823
smc,0.0817
cobN,0.0615
Rv0194,0.3002
metH,0.0337
dnaE1,0.03
Rv3910,0.0994
lysX,0.0844
rpoB,0.0248
fadD9,0.1577
Rv0890c,0.2322
mmpL10,0.1623
Rv2566,0.0848
Rv1251c,0.1249
Rv0386,0.2036
pca,0.0596
carB,0.0404
Rv3201c,0.1123
embB,0.0889
recC,0.1838
embA,0.0855
embC,0.0825
recB,0.2209
Rv3728,0.1464
Rv3202c,0.1255
Rv3239c,0.2197
ileS,0.0614
Rv1683,0.0538
glnE,0.0776
Rv3193c,0.0545
uvrA,0.035
leuS,0.0695
mmpL2,0.2198
mmpL4,0.1114
mmpL11,0.1053
rne,0.1072
secA1,0.0396
Rv2531c,0.0605
mmpL3,0.1189
acn,0.0391
gcvB,0.0648
topA,0.0587
mmpL7,0.1402
helY,0.0616
ctpF,0.6339
alaS,0.0601
polA,0.0537
aceE,0.0392
infB,0.0528
Rv2567,0.1069
ftsK,0.0796
Rv0338c,0.0921
Rv0584,0.1393
valS,0.0615
Rv1278,0.1709
Rv1747,0.0871
glgP,0.0752
pepN,0.0697
kdpD,0.1205
fbiC,0.0457
Rv0987,0.2073
Rv2047c,0.1266
nirB,0.0481
clpC1,0.0116
clpB,0.0405
Rv1461,0.0618
gyrA,0.0319
pheT,0.0917
ponA2,0.0416
glnD,0.143
secA2,0.0472
nuoG,0.0742
Rv3909,0.1351
Rv0373c,0.0281
ctpE,0.1104
Rv0585c,0.0993
relA,0.0243
recA,0.393
plsB2,0.0851
atsD,0.2336
Rv3401,0.0429
fdhF,0.0631
Rv1866,0.1259
Rv3649,0.0848
ctpV,0.0988
uvrD1,0.0607
treY,0.1399
Rv3273,0.1434
Rv0197,0.0784
ctpB,0.1131
ftsH,0.0396
metE,0.0783
ligD,0.1041
cstA,0.1327
Rv0862c,0.1049
purL,0.0346
gpsI,0.0291
mutB,0.0506
pknG,0.0647
