Gene Name,Evo Rate
Rv2048c,0.0931
Rv2524c,0.0506
Rv2940c,0.0447
Rv1527c,0.17
Rv1661,0.2707
Rv2931,0.1191
Rv2934,0.0919
Rv3800c,0.0676
Rv0107c,0.0877
Rv2476c,0.081
Rv0425c,0.1671
Rv2932,0.1113
Rv3859c,0.0353
Rv3296,0.0872
Rv2935,0.0825
Rv0236c,0.1076
Rv3894c,0.3001
Rv1783,0.0496
Rv3447c,0.1996
Rv2006,0.2939
Rv0668,0.0185
Rv1020,0.0552
Rv1161,0.0447
Rv1248c,0.0448
Rv0266c,0.0823
Rv2922c,0.0817
Rv2062c,0.0615
Rv0194,0.3002
Rv2124c,0.0337
Rv1547,0.03
Rv3910,0.0994
Rv1640c,0.0844
Rv0667,0.0248
Rv2590,0.1577
Rv0890c,0.2322
Rv1183,0.1623
Rv2566,0.0848
Rv1251c,0.1249
Rv0386,0.2036
Rv2967c,0.0596
Rv1384,0.0404
Rv3201c,0.1123
Rv3795,0.0889
Rv0631c,0.1838
Rv3794,0.0855
Rv3793,0.0825
Rv0630c,0.2209
Rv3728,0.1464
Rv3202c,0.1255
Rv3239c,0.2197
Rv1536,0.0614
Rv1683,0.0538
Rv2221c,0.0776
Rv3193c,0.0545
Rv1638,0.035
Rv0041,0.0695
Rv0507,0.2198
Rv0450c,0.1114
Rv0202c,0.1053
Rv2444c,0.1072
Rv3240c,0.0396
Rv2531c,0.0605
Rv0206c,0.1189
Rv1475c,0.0391
Rv1832,0.0648
Rv3646c,0.0587
Rv2942,0.1402
Rv2092c,0.0616
Rv1997,0.6339
Rv2555c,0.0601
Rv1629,0.0537
Rv2241,0.0392
Rv2839c,0.0528
Rv2567,0.1069
Rv2748c,0.0796
Rv0338c,0.0921
Rv0584,0.1393
Rv2448c,0.0615
Rv1278,0.1709
Rv1747,0.0871
Rv1328,0.0752
Rv2467,0.0697
Rv1028c,0.1205
Rv1173,0.0457
Rv0987,0.2073
Rv2047c,0.1266
Rv0252,0.0481
Rv3596c,0.0116
Rv0384c,0.0405
Rv1461,0.0618
Rv0006,0.0319
Rv1650,0.0917
Rv3682,0.0416
