"Name","Chromosome","Region","Expression value","TPM","RPKM","Gene length","Unique gene reads","Total gene reads"
"dnaA","NC_000962.3","1..1524","330","4.0543097754","0","1524","330","330"
"dnaN","NC_000962.3","2052..3260","148","2.2920462151","0","1209","148","148"
"recF","NC_000962.3","3280..4437","92","1.4875351049","0","1158","92","92"
"Rv0004","NC_000962.3","4434..4997","118","3.9173363181","0","564","118","118"
"gyrB","NC_000962.3","5240..7267","13420","123.9003464689","0","2028","13420","13420"
"IGR3_Rodriguez_Rv0005-Rv0006","NC_000962.3","7178..7419","727","56.2479890685","0","242","725","727"
"gyrA","NC_000962.3","7302..9818","13183","98.0661198778","0","2517","13177","13183"
"IGR4_Rodriguez_Rv0006-Rv0007","NC_000962.3","9846..9939","109","21.7113385766","0","94","109","109"
"Rv0007","NC_000962.3","9914..10828","2043","41.8056738651","0","915","2043","2043"
"ileT","NC_000962.3","10887..10960","8","2.024166453","0","74","8","8"
"alaT","NC_000962.3","11112..11184","0","0","0","73","0","0"
"IGR6_Rodriguez_Rv0007-Rv0008c","NC_000962.3","11196..11333","27","3.6633012437","0","138","27","27"
"Rv0008c","NC_000962.3","complement(11874..12311)","90","3.847302676","0","438","90","90"
"IGR7_Rodriguez_Rv0008c-Rv0009","NC_000962.3","complement(12264..12365)","0","0","0","102","0","0"
"IGR8_Rodriguez_Rv0008c-Rv0009","NC_000962.3","complement(12407..12496)","0","0","0","90","0","0"
"ppiA","NC_000962.3","12468..13016","228","7.7758962647","0","549","228","228"
"IGR9_Rodriguez_Rv0009-Rv0010c","NC_000962.3","complement(13040..13126)","3","0.6456392997","0","87","3","3"
"Rv0010c","NC_000962.3","complement(13133..13558)","113","4.9665727347","0","426","113","113"
"IGR10_Rodriguez_Rv0010c-Rv0011c","NC_000962.3","complement(13500..13757)","258","18.7235396899","0","258","258","258"
"Rv0011c","NC_000962.3","complement(13714..13995)","850","56.4362011931","0","282","850","850"
"Rv0012","NC_000962.3","14089..14877","814","19.3168077409","0","789","814","814"
"trpG","NC_000962.3","14914..15612","251","6.7233311333","0","699","251","251"
"pknB","NC_000962.3","complement(15590..17470)","541","5.3851328933","0","1881","541","541"
"pknA","NC_000962.3","complement(17467..18762)","624","9.0150376285","0","1296","624","624"
"pbpA","NC_000962.3","complement(18759..20234)","846","10.7317849442","0","1476","846","846"
"rodA","NC_000962.3","complement(20231..21640)","462","6.1349470473","0","1410","462","462"
"pstP","NC_000962.3","complement(21637..23181)","678","8.2165436309","0","1545","678","678"
"fhaB","NC_000962.3","complement(23270..23737)","444","17.7633581674","0","468","444","444"
"IGR11_Rodriguez_Rv0019c-Rv0020c","NC_000962.3","complement(23699..23945)","440","33.3536739416","0","247","440","440"
"Miotto_candidate_1","NC_000962.3","23850..23998","2","0.2513226804","0","149","2","2"
"fhaA","NC_000962.3","complement(23861..25444)","4483","52.9909270391","0","1584","4483","4483"
"Miotto_candidate_2","NC_000962.3","24046..24157","0","0","0","112","0","0"
"Miotto_candidate_3","NC_000962.3","24672..24787","1","0.1614098249","0","116","1","1"
"Miotto_candidate_4","NC_000962.3","24867..25274","20","0.917820573","0","408","20","20"
"IGR12_Rodriguez_Rv0020c-Rv0021c","NC_000962.3","25511..25612","0","0","0","102","0","0"
"Miotto_candidate_900","NC_000962.3","complement(25623..25728)","2","0.3532743338","0","106","2","2"
"leuT","NC_000962.3","25644..25726","0","0","0","83","0","0"
"Miotto_candidate_901","NC_000962.3","complement(25779..25816)","0","0","0","38","0","0"
"Rv0021c","NC_000962.3","complement(25913..26881)","59","1.1400297644","0","969","59","59"
"whiB5","NC_000962.3","complement(27023..27442)","2","0.0891597128","0","420","2","2"
"Rv0023","NC_000962.3","27595..28365","111","2.6956068814","0","771","111","111"
"Rv0024","NC_000962.3","28362..29207","162","3.585358664","0","846","162","162"
"Rv0025","NC_000962.3","29245..29607","160","8.2527998633","0","363","160","160"
"IGR13_Rodriguez_Rv0025-Rv0026","NC_000962.3","29676..29726","0","0","0","51","0","0"
"Rv0026","NC_000962.3","29722..31068","82","1.1398145914","0","1347","82","82"
"Rv0027","NC_000962.3","31189..31506","222","13.0711503496","0","318","222","222"
"Rv0028","NC_000962.3","31514..31819","157","9.6065219978","0","306","157","157"
"IGR14_Rodriguez_Rv0028-Rv0029","NC_000962.3","31770..31926","32","3.8162628667","0","157","32","32"
"IGR15_Rodriguez_Rv0028-Rv0029","NC_000962.3","complement(31802..31925)","2","0.3019925756","0","124","2","2"
"Rv0029","NC_000962.3","32057..33154","286","4.8769875695","0","1098","286","286"
"Rv0030","NC_000962.3","33224..33553","93","5.2766339126","0","330","93","93"
"IGR16_Rodriguez_Rv0031-Rv0032","NC_000962.3","complement(33873..34107)","1","0.079674637","0","235","1","1"
"bioF2","NC_000962.3","34295..36610","32","0.2587017574","0","2316","32","32"
"acpA","NC_000962.3","36607..36870","4","0.2836899953","0","264","4","4"
"Rv0034","NC_000962.3","36867..37262","4","0.1891266635","0","396","4","4"
"fadD34","NC_000962.3","37259..38947","20","0.2217115416","0","1689","20","20"
"Rv0036c","NC_000962.3","complement(39056..39829)","407","9.8455822401","0","774","407","407"
"Rv0037c","NC_000962.3","complement(39877..41202)","621","8.7687165516","0","1326","621","621"
"Rv0038","NC_000962.3","41304..41912","1238","38.061973951","0","609","1238","1238"
"IGR17_Rodriguez_Rv0038-Rv0039c","NC_000962.3","complement(41864..41990)","14","2.0640122493","0","127","14","14"
"Rv0039c","NC_000962.3","complement(42004..42351)","235","12.6437696182","0","348","235","235"
"IGR18_Rodriguez_Rv0039c-Rv0040c","NC_000962.3","complement(42332..42399)","0","0","0","68","0","0"
"mtc28","NC_000962.3","complement(42433..43365)","886","17.7803388695","0","933","886","886"
"leuS","NC_000962.3","43562..46471","675","4.3430891033","0","2910","675","675"
"Miotto_candidate_902","NC_000962.3","complement(44050..44092)","0","0","0","43","0","0"
"Rv0042c","NC_000962.3","complement(46581..47207)","167","4.9869714964","0","627","167","167"
"IGR19_Rodriguez_Rv0042c-Rv0043c","NC_000962.3","47197..47297","4","0.7415263244","0","101","4","4"
"Rv0043c","NC_000962.3","complement(47366..48100)","275","7.0054060064","0","735","275","275"
"Rv0044c","NC_000962.3","complement(48233..49027)","263","6.1940766521","0","795","263","263"
"Rv0045c","NC_000962.3","complement(49043..49939)","420","8.7668747712","0","897","420","420"
"IGR20_Rodriguez_Rv0045c-Rv0046c","NC_000962.3","complement(49946..50075)","128","18.4354852332","0","130","128","128"
"ino1","NC_000962.3","complement(50021..51124)","2009","34.0720935119","0","1104","2009","2009"
"Miotto_candidate_5","NC_000962.3","50563..51056","6804","257.884542612","0","494","6804","6804"
"Miotto_candidate_6","NC_000962.3","51104..51192","14","2.9452759063","0","89","14","14"
"Miotto_candidate_903","NC_000962.3","complement(51124..51185)","0","0","0","62","0","0"
"Rv0047c","NC_000962.3","complement(51185..51727)","713","24.5854213608","0","543","713","713"
"Miotto_candidate_7","NC_000962.3","51419..51457","0","0","0","39","0","0"
"Miotto_candidate_8","NC_000962.3","51664..51743","0","0","0","80","0","0"
"Miotto_candidate_904","NC_000962.3","complement(51727..51759)","0","0","0","33","0","0"
"Rv0048c","NC_000962.3","complement(51828..52697)","61","1.3127999093","0","870","61","61"
"Miotto_candidate_9","NC_000962.3","51988..52108","1","0.1547399974","0","121","1","1"
"IGR21_Rodriguez_Rv0048c-Rv0049","NC_000962.3","52706..52936","26","2.1074113937","0","231","26","26"
"Rv0049","NC_000962.3","52831..53244","388","17.5476652167","0","414","382","388"
"IGR22_Rodriguez_Rv0049-Rv0050","NC_000962.3","53506..53586","4","0.9246192439","0","81","4","4"
"ponA1","NC_000962.3","53663..55699","1049","9.6421173956","0","2037","1049","1049"
"Rv0051","NC_000962.3","55696..57378","346","3.8492838578","0","1683","346","346"
"Rv0052","NC_000962.3","57410..57973","88","2.9214033559","0","564","88","88"
"Miotto_candidate_905","NC_000962.3","complement(58145..58220)","0","0","0","76","0","0"
"rpsF","NC_000962.3","58192..58482","177","11.3885447599","0","291","177","177"
"IGR23_Rodriguez_Rv0053-Rv0054","NC_000962.3","58431..58710","60","4.0121870764","0","280","60","60"
"ssb","NC_000962.3","58586..59080","183","6.9220358854","0","495","181","183"
"rpsR1","NC_000962.3","59122..59376","151","11.0872725223","0","255","151","151"
"Miotto_candidate_906","NC_000962.3","complement(59359..59410)","0","0","0","52","0","0"
"rplI","NC_000962.3","59409..59867","523","21.3342293199","0","459","523","523"
