"Name","Chromosome","Region","Expression value","TPM","RPKM","Gene length","Unique gene reads","Total gene reads"
"dnaA","NC_000962.3","1..1524","3334","70.883886097","0","1524","3334","3334"
"dnaN","NC_000962.3","2052..3260","1974","52.9039059982","0","1209","1974","1974"
"recF","NC_000962.3","3280..4437","1102","30.8347140773","0","1158","1102","1102"
"Rv0004","NC_000962.3","4434..4997","703","40.3871410907","0","564","703","703"
"gyrB","NC_000962.3","5240..7267","35827","572.4128618784","0","2028","35827","35827"
"IGR3_Rodriguez_Rv0005-Rv0006","NC_000962.3","7178..7419","1023","136.9705369512","0","242","1016","1023"
"gyrA","NC_000962.3","7302..9818","28822","371.0289427684","0","2517","28811","28822"
"IGR4_Rodriguez_Rv0006-Rv0007","NC_000962.3","9846..9939","193","66.5267558791","0","94","193","193"
"Rv0007","NC_000962.3","9914..10828","4457","157.8295908128","0","915","4457","4457"
"ileT","NC_000962.3","10887..10960","25","10.9464974314","0","74","25","25"
"alaT","NC_000962.3","11112..11184","3","1.3315739341","0","73","3","3"
"IGR6_Rodriguez_Rv0007-Rv0008c","NC_000962.3","11196..11333","50","11.739721883","0","138","50","50"
"Rv0008c","NC_000962.3","complement(11874..12311)","255","18.8639640668","0","438","255","255"
"IGR7_Rodriguez_Rv0008c-Rv0009","NC_000962.3","complement(12264..12365)","4","1.2706522509","0","102","4","4"
"IGR8_Rodriguez_Rv0008c-Rv0009","NC_000962.3","complement(12407..12496)","6","2.1601088265","0","90","6","6"
"ppiA","NC_000962.3","12468..13016","5306","313.1567604714","0","549","5306","5306"
"IGR9_Rodriguez_Rv0009-Rv0010c","NC_000962.3","complement(13040..13126)","20","7.4486511258","0","87","20","20"
"Rv0010c","NC_000962.3","complement(13133..13558)","1004","76.3644106259","0","426","1004","1004"
"IGR10_Rodriguez_Rv0010c-Rv0011c","NC_000962.3","complement(13500..13757)","908","114.033652002","0","258","908","908"
"Rv0011c","NC_000962.3","complement(13714..13995)","1418","162.9273572306","0","282","1418","1418"
"Rv0012","NC_000962.3","14089..14877","2573","105.664638983","0","789","2573","2573"
"trpG","NC_000962.3","14914..15612","1083","50.2016707954","0","699","1083","1083"
"pknB","NC_000962.3","complement(15590..17470)","5860","100.9428845544","0","1881","5860","5860"
"pknA","NC_000962.3","complement(17467..18762)","5665","141.6321354393","0","1296","5665","5665"
"pbpA","NC_000962.3","complement(18759..20234)","5478","120.254838937","0","1476","5478","5478"
"rodA","NC_000962.3","complement(20231..21640)","4680","107.5458437009","0","1410","4680","4680"
"pstP","NC_000962.3","complement(21637..23181)","5935","124.4684066515","0","1545","5935","5935"
"fhaB","NC_000962.3","complement(23270..23737)","2488","172.2548320596","0","468","2488","2488"
"IGR11_Rodriguez_Rv0019c-Rv0020c","NC_000962.3","complement(23699..23945)","1718","225.3684391018","0","247","1718","1718"
"Miotto_candidate_1","NC_000962.3","23850..23998","4","0.8698424805","0","149","4","4"
"fhaA","NC_000962.3","complement(23861..25444)","20598","421.3439546178","0","1584","20598","20598"
"Miotto_candidate_2","NC_000962.3","24046..24157","0","0","0","112","0","0"
"Miotto_candidate_3","NC_000962.3","24672..24787","2","0.5586488344","0","116","2","2"
"Miotto_candidate_4","NC_000962.3","24867..25274","138","10.9593756637","0","408","138","138"
"IGR12_Rodriguez_Rv0020c-Rv0021c","NC_000962.3","25511..25612","0","0","0","102","0","0"
"Miotto_candidate_900","NC_000962.3","complement(25623..25728)","1","0.3056757773","0","106","1","1"
"leuT","NC_000962.3","25644..25726","0","0","0","83","0","0"
"Miotto_candidate_901","NC_000962.3","complement(25779..25816)","0","0","0","38","0","0"
"Rv0021c","NC_000962.3","complement(25913..26881)","694","23.2061226868","0","969","694","694"
"whiB5","NC_000962.3","complement(27023..27442)","25","1.9286685951","0","420","25","25"
"Rv0023","NC_000962.3","27595..28365","1513","63.5845263512","0","771","1513","1513"
"Rv0024","NC_000962.3","28362..29207","1221","46.764058105","0","846","1221","1221"
"Rv0025","NC_000962.3","29245..29607","893","79.7098009107","0","363","893","893"
"IGR13_Rodriguez_Rv0025-Rv0026","NC_000962.3","29676..29726","0","0","0","51","0","0"
"Rv0026","NC_000962.3","29722..31068","1010","24.2952106318","0","1347","1010","1010"
"Rv0027","NC_000962.3","31189..31506","234","23.8427106318","0","318","234","234"
"Rv0028","NC_000962.3","31514..31819","139","14.7183885725","0","306","139","139"
"IGR14_Rodriguez_Rv0028-Rv0029","NC_000962.3","31770..31926","18","3.7148368353","0","157","18","18"
"IGR15_Rodriguez_Rv0028-Rv0029","NC_000962.3","complement(31802..31925)","13","3.3969453319","0","124","13","13"
"Rv0029","NC_000962.3","32057..33154","2418","71.3544145137","0","1098","2418","2418"
"Rv0030","NC_000962.3","33224..33553","253","24.8412515044","0","330","253","253"
"IGR16_Rodriguez_Rv0031-Rv0032","NC_000962.3","complement(33873..34107)","25","3.4469821699","0","235","25","25"
"bioF2","NC_000962.3","34295..36610","537","7.5128137294","0","2316","537","537"
"acpA","NC_000962.3","36607..36870","44","5.4002720662","0","264","44","44"
"Rv0034","NC_000962.3","36867..37262","105","8.5913419235","0","396","105","105"
"fadD34","NC_000962.3","37259..38947","430","8.2490834403","0","1689","430","430"
"Rv0036c","NC_000962.3","complement(39056..39829)","2251","94.2326544261","0","774","2251","2251"
"Rv0037c","NC_000962.3","complement(39877..41202)","2223","54.3203837245","0","1326","2223","2223"
"Rv0038","NC_000962.3","41304..41912","4228","224.9492639979","0","609","4228","4228"
"IGR17_Rodriguez_Rv0038-Rv0039c","NC_000962.3","complement(41864..41990)","114","29.0849298682","0","127","114","114"
"Rv0039c","NC_000962.3","complement(42004..42351)","1438","133.8895039855","0","348","1438","1438"
"IGR18_Rodriguez_Rv0039c-Rv0040c","NC_000962.3","complement(42332..42399)","7","3.3354621585","0","68","7","7"
"mtc28","NC_000962.3","complement(42433..43365)","8154","283.1756812064","0","933","8154","8154"
"leuS","NC_000962.3","43562..46471","4261","47.4444521113","0","2910","4261","4261"
"Miotto_candidate_902","NC_000962.3","complement(44050..44092)","0","0","0","43","0","0"
"Rv0042c","NC_000962.3","complement(46581..47207)","2803","144.8513167607","0","627","2803","2803"
"IGR19_Rodriguez_Rv0042c-Rv0043c","NC_000962.3","47197..47297","9","2.887274174","0","101","9","9"
"Rv0043c","NC_000962.3","complement(47366..48100)","957","42.1882478966","0","735","957","957"
"Rv0044c","NC_000962.3","complement(48233..49027)","1452","59.1788304912","0","795","1452","1452"
"Rv0045c","NC_000962.3","complement(49043..49939)","1220","44.0691098377","0","897","1220","1220"
"IGR20_Rodriguez_Rv0045c-Rv0046c","NC_000962.3","complement(49946..50075)","166","41.3743921378","0","130","166","166"
"ino1","NC_000962.3","complement(50021..51124)","3892","114.2274939215","0","1104","3892","3892"
"Miotto_candidate_5","NC_000962.3","50563..51056","10399","682.0740390627","0","494","10399","10399"
"Miotto_candidate_6","NC_000962.3","51104..51192","26","9.4656454194","0","89","26","26"
"Miotto_candidate_903","NC_000962.3","complement(51124..51185)","0","0","0","62","0","0"
"Rv0047c","NC_000962.3","complement(51185..51727)","1706","101.799603811","0","543","1706","1706"
"Miotto_candidate_7","NC_000962.3","51419..51457","0","0","0","39","0","0"
"Miotto_candidate_8","NC_000962.3","51664..51743","0","0","0","80","0","0"
"Miotto_candidate_904","NC_000962.3","complement(51727..51759)","0","0","0","33","0","0"
"Rv0048c","NC_000962.3","complement(51828..52697)","657","24.4688189481","0","870","657","657"
"Miotto_candidate_9","NC_000962.3","51988..52108","12","3.2133850311","0","121","12","12"
"IGR21_Rodriguez_Rv0048c-Rv0049","NC_000962.3","52706..52936","98","13.7461470775","0","231","96","98"
"Rv0049","NC_000962.3","52831..53244","2954","231.1942562824","0","414","2922","2954"
"IGR22_Rodriguez_Rv0049-Rv0050","NC_000962.3","53506..53586","22","8.8004433671","0","81","22","22"
"ponA1","NC_000962.3","53663..55699","11260","179.1076979827","0","2037","11260","11260"
"Rv0051","NC_000962.3","55696..57378","3993","76.8744611773","0","1683","3993","3993"
"Rv0052","NC_000962.3","57410..57973","887","50.9578864117","0","564","887","887"
"Miotto_candidate_905","NC_000962.3","complement(58145..58220)","2","0.8526745368","0","76","2","2"
"rpsF","NC_000962.3","58192..58482","909","101.2133465599","0","291","909","909"
"IGR23_Rodriguez_Rv0053-Rv0054","NC_000962.3","58431..58710","512","59.2486992403","0","280","510","512"
"ssb","NC_000962.3","58586..59080","1539","100.7396207254","0","495","1536","1539"
"rpsR1","NC_000962.3","59122..59376","1232","156.5443573066","0","255","1232","1232"
"Miotto_candidate_906","NC_000962.3","complement(59359..59410)","0","0","0","52","0","0"
"rplI","NC_000962.3","59409..59867","3153","222.5759192765","0","459","3153","3153"
"Rv0057","NC_000962.3","59896..60417","1036","64.3066880524","0","522","1036","1036"
"dnaB","NC_000962.3","60396..63020","7482","92.3539099409","0","2625","7482","7482"
"Rv0059","NC_000962.3","63200..63892","451","21.0867766394","0","693","451","451"
"Rv0060","NC_000962.3","63909..64967","2757","84.3543914246","0","1059","2757","2757"
"Rv0061c","NC_000962.3","complement(65012..65350)","2270","216.9666830127","0","339","2270","2270"
"IGR24_Rodriguez_Rv0061c-Rv0062","NC_000962.3","complement(65412..65517)","228","69.6940772314","0","106","228","228"
"celA1","NC_000962.3","65552..66694","1833","51.9616729517","0","1143","1833","1833"
"IGR25_Rodriguez_Rv0062-Rv0063","NC_000962.3","66778..66855","8","3.3232443484","0","78","8","8"
"Rv0063","NC_000962.3","66923..68362","2580","58.0529247114","0","1440","2580","2580"
"Rv0063a","NC_000962.3","68418..68579","544","108.8054816296","0","162","544","544"
"Rv0064","NC_000962.3","68620..71559","7415","81.7204436137","0","2940","7415","7415"
"IGR27_Rodriguez_Rv0064-Rv0064A","NC_000962.3","71517..71619","47","14.7852108996","0","103","47","47"
"vapB1","NC_000962.3","71589..71828","262","35.3717820335","0","240","262","262"
"vapC1","NC_000962.3","71821..72222","212","17.0874280303","0","402","212","212"
"icd2","NC_000962.3","complement(72274..74511)","4132","59.8228530226","0","2238","4132","4132"
"Miotto_candidate_10","NC_000962.3","74231..74261","0","0","0","31","0","0"
"IGR28_Rodriguez_Rv0066c-Rv0067c","NC_000962.3","74510..74570","0","0","0","61","0","0"
"Rv0067c","NC_000962.3","complement(74629..75198)","318","18.0767001794","0","570","318","318"
"Rv0068","NC_000962.3","75301..76212","188","6.6792838713","0","912","188","188"
"sdaA","NC_000962.3","complement(76237..77622)","1337","31.2561201406","0","1386","1337","1337"
"glyA2","NC_000962.3","complement(77619..78896)","1010","25.6069238819","0","1278","1010","1010"
"IGR29_Rodriguez_Rv0070c-Rv0071","NC_000962.3","complement(79075..79314)","984","132.8466928279","0","240","984","984"
"Rv0071","NC_000962.3","79486..80193","194","8.8784133969","0","708","194","194"
"Miotto_candidate_11","NC_000962.3","80382..80415","0","0","0","34","0","0"
"IGR30_Rodriguez_Rv0071-Rv0072","NC_000962.3","complement(80503..80610)","3","0.9000453444","0","108","3","3"
"Rv0072","NC_000962.3","80624..81673","4154","128.1870295023","0","1050","4154","4154"
"Rv0073","NC_000962.3","81676..82668","3817","124.5488729704","0","993","3817","3817"
"Miotto_candidate_909","NC_000962.3","complement(81688..81732)","0","0","0","45","0","0"
"Miotto_candidate_910","NC_000962.3","complement(82249..82353)","0","0","0","105","0","0"
"IGR31_Rodriguez_Rv0073-Rv0074","NC_000962.3","82654..82755","67","21.283425202","0","102","67","67"
"Rv0074","NC_000962.3","82748..83983","2431","63.7284533635","0","1236","2431","2431"
"Rv0075","NC_000962.3","83996..85168","2263","62.5105661676","0","1173","2263","2263"
"Rv0076c","NC_000962.3","complement(85183..85572)","102","8.4742730885","0","390","102","102"
"Miotto_candidate_12","NC_000962.3","85206..85276","0","0","0","71","0","0"
"Rv0077c","NC_000962.3","complement(85636..86466)","193","7.525288872","0","831","193","193"
"Rv0078","NC_000962.3","86528..87133","178","9.5173111661","0","606","178","178"
"Rv0078A","NC_000962.3","complement(87208..87801)","2579","140.679814734","0","594","2579","2579"
"Miotto_candidate_13","NC_000962.3","87687..87819","3","0.7308638887","0","133","3","3"
"Rv0078B","NC_000962.3","complement(87798..88004)","1019","159.5036879836","0","207","1019","1019"
"Miotto_candidate_14","NC_000962.3","87932..88008","0","0","0","77","0","0"
"Miotto_candidate_15","NC_000962.3","88167..88204","0","0","0","38","0","0"
"Rv0079","NC_000962.3","88204..89025","24608","969.9992336092","0","822","24608","24608"
"Rv0080","NC_000962.3","89022..89480","7841","553.5102388351","0","459","7841","7841"
"Miotto_candidate_912","NC_000962.3","complement(89426..89466)","0","0","0","41","0","0"
"Rv0081","NC_000962.3","89575..89919","1793","168.3945706896","0","345","1793","1793"
"Rv0082","NC_000962.3","89924..90403","1818","122.7211827038","0","480","1818","1818"
"Rv0083","NC_000962.3","90400..92322","3875","65.2919009561","0","1923","3875","3875"
"hycD","NC_000962.3","92328..93278","3494","119.0444832758","0","951","3494","3494"
"hycP","NC_000962.3","93289..93951","1342","65.5852046408","0","663","1342","1342"
"hycQ","NC_000962.3","93951..95417","3136","69.2648392619","0","1467","3136","3136"
